Date,Firm,To Grade,From Grade,Action
2015-05-11,Wedbush,Underperform,Neutral,down
2015-05-11,Morgan Stanley,Equal-Weight,,init
2015-05-11,Goldman Sachs,Neutral,,init
2015-10-12,Monness Crespi Hardt,Sell,,init
2015-10-20,Wedbush,Neutral,Underperform,up
2015-11-04,Brean Capital,Buy,,main
2015-11-11,Monness Crespi Hardt,Neutral,Sell,up
2015-11-17,Topeka,Hold,,init
2015-12-22,Roth Capital,Sell,,init
2016-03-10,RBC Capital,Buy,,init
2016-05-26,Maxim Group,Buy,,init
2016-08-01,Citigroup,Buy,,init
2016-08-03,Citigroup,Buy,,main
2016-08-03,Morgan Stanley,Equal-Weight,,main
2016-08-03,Citigroup,Buy,,main
2016-08-03,Goldman Sachs,Neutral,,main
2016-08-03,Roth Capital,Neutral,Sell,up
2016-09-13,Loop Capital,Hold,,init
2016-09-21,Monness Crespi Hardt,Buy,Neutral,up
2016-09-26,Maxim Group,Buy,,main
2016-10-10,Citigroup,Buy,,main
2016-11-02,Roth Capital,Buy,Neutral,up
2016-12-20,Stifel Nicolaus,Hold,,init
2017-05-17,Loop Capital,Hold,Buy,down
2017-05-25,Citigroup,Neutral,Buy,down
2017-07-20,Morgan Stanley,Equal-Weight,,main
2017-09-06,DA Davidson,Buy,,init
2017-12-20,KeyBanc,Overweight,,init
2018-01-12,Morgan Stanley,Underweight,Equal-Weight,down
2018-02-28,Stifel Nicolaus,Hold,Hold,main
2018-02-28,KeyBanc,Overweight,Overweight,main
2018-02-28,Roth Capital,Buy,Neutral,up
2018-03-05,Citigroup,Neutral,Neutral,main
2018-03-14,KeyBanc,Overweight,Overweight,main
2018-04-10,Loop Capital,Buy,,init
2018-04-18,Morgan Stanley,Underweight,Underweight,main
2018-05-01,DA Davidson,Buy,Buy,main
2018-05-07,KeyBanc,Overweight,Overweight,main
2018-05-09,Stifel Nicolaus,Hold,Hold,main
2018-05-09,KeyBanc,Overweight,Overweight,main
2018-06-15,KeyBanc,Overweight,Overweight,main
2018-07-11,Morgan Stanley,Underweight,Underweight,main
2018-08-07,KeyBanc,Overweight,Overweight,main
2018-08-07,Stifel Nicolaus,Hold,Hold,main
2018-09-14,Wedbush,Neutral,,init
2018-09-14,DA Davidson,Buy,Buy,main
2018-10-02,KeyBanc,Overweight,Overweight,main
2018-10-24,Morgan Stanley,Equal-Weight,Underweight,up
2018-11-14,BTIG Research,Buy,,init
2018-12-07,Citigroup,Buy,,init
2019-01-04,Goldman Sachs,Buy,Neutral,up
2019-01-29,Deutsche Bank,Buy,,init
2019-02-13,Roth Capital,Buy,Buy,main
