Date,Firm,To Grade,From Grade,Action
2012-02-15,Credit Suisse,Outperform,,up
2012-03-08,Canaccord Genuity,Buy,,main
2012-04-13,JP Morgan,Neutral,,main
2012-05-01,Canaccord Genuity,Buy,,main
2012-05-02,Goldman Sachs,Buy,,main
2012-06-07,Canaccord Genuity,Buy,,main
2012-06-25,Canaccord Genuity,Buy,,main
2012-06-26,UBS,Buy,Neutral,up
2012-07-06,PiperJaffray,Overweight,,main
2012-07-13,Credit Suisse,Neutral,Outperform,down
2012-07-25,Bank of America,Neutral,,main
2012-07-25,Wunderlich,Hold,,main
2012-07-25,JP Morgan,Neutral,,main
2012-07-25,Jefferies,Buy,,main
2012-07-25,Deutsche Bank,Hold,,main
2012-09-28,Jefferies,Buy,,main
2012-10-09,PiperJaffray,Overweight,,main
2012-10-09,Goldman Sachs,Buy,,main
2012-10-09,UBS,Neutral,,main
2012-10-09,RBC Capital,Outperform,Top Pick,down
2012-10-09,Canaccord Genuity,Buy,,main
2012-10-09,Barclays,Equal-Weight,,main
2012-10-16,Citigroup,Buy,,main
2012-10-21,Goldman Sachs,Buy,,main
2012-10-22,Credit Suisse,Neutral,,main
2012-10-22,Jefferies,Buy,,main
2012-10-22,Wunderlich,Hold,,main
2012-10-22,Citigroup,Neutral,Buy,down
2012-11-20,Stifel Nicolaus,Buy,,init
2012-12-05,JP Morgan,Neutral,,main
2013-01-04,Deutsche Bank,Hold,,main
2013-02-04,Canaccord Genuity,Buy,,main
2013-02-05,Barclays,Equal-Weight,,main
2013-02-05,Jefferies,Buy,,main
2013-03-22,JP Morgan,Neutral,,main
2013-03-22,JP Morgan,Neutral,,main
2013-03-28,Goldman Sachs,Buy,,main
2013-04-24,BMO Capital,Market Perform,,main
2013-04-24,RBC Capital,Sector Perform,Outperform,down
2013-04-24,Citigroup,Neutral,,main
2013-04-24,Wunderlich,Hold,,main
2013-04-24,Jefferies,Buy,,main
2013-04-24,Stifel Nicolaus,Buy,,main
2013-04-24,Lazard,Neutral,Buy,down
2013-06-10,Credit Suisse,Outperform,Neutral,up
2013-07-18,Northland Securities,Outperform,Market Perform,up
2013-10-03,Stifel Nicolaus,Buy,,main
2013-10-16,Citigroup,Buy,Neutral,up
2013-10-30,Canaccord Genuity,Buy,,main
2013-10-30,JP Morgan,Underweight,Neutral,down
2013-12-03,Stifel Nicolaus,Buy,,main
2013-12-10,Wells Fargo,Market Perform,Outperform,down
2014-02-20,BTIG Research,Neutral,,init
2014-03-10,Wells Fargo,Outperform,Market Perform,up
2014-03-24,Bank of America,Neutral,,main
2014-04-14,CRT Capital,Buy,Fair Value,up
2014-04-14,Bank of America,Neutral,,main
2014-04-14,Barclays,Equal-Weight,,main
2014-04-15,JP Morgan,Neutral,Underweight,up
2014-04-25,Canaccord Genuity,Buy,,main
2014-04-25,Stifel Nicolaus,Buy,,main
2014-05-21,Canaccord Genuity,Buy,,main
2014-05-22,CRT Capital,Buy,,main
2014-06-11,JMP Securities,Market Outperform,Market Perform,up
2014-07-30,Jefferies,Buy,,main
2014-07-30,Deutsche Bank,Hold,,main
2014-07-30,Barclays,Equal-Weight,,main
2014-08-21,JMP Securities,Market Outperform,,main
2014-09-11,Sterne Agee,Buy,,init
2014-09-16,Canaccord Genuity,Buy,,main
2014-10-24,CRT Capital,Buy,,main
2014-10-24,Stifel Nicolaus,Buy,,main
2014-10-24,Morgan Stanley,Equal-Weight,,main
2014-11-07,Sterne Agee,Neutral,Buy,down
2014-12-04,Bernstein,Outperform,,init
2014-12-08,Credit Suisse,Outperform,,main
2014-12-09,Stifel Nicolaus,Buy,,main
2014-12-09,JP Morgan,Neutral,,main
2014-12-09,Deutsche Bank,Hold,,main
2014-12-09,Barclays,Equal-Weight,,main
2014-12-09,Morgan Stanley,Equal-Weight,,main
2014-12-09,Bank of America,Neutral,,main
2014-12-10,Barclays,Equal-Weight,,main
2015-04-24,Barclays,Equal-Weight,,main
2015-05-12,JP Morgan,Overweight,Neutral,up
2015-06-09,BMO Capital,Outperform,Market Perform,up
2015-07-06,Morgan Stanley,Overweight,Equal-Weight,up
2015-07-13,RBC Capital,Outperform,Sector Perform,up
2015-07-13,BMO Capital,Outperform,,main
2015-07-13,Northland Securities,Outperform,Market Perform,up
2015-07-29,Barclays,Equal-Weight,,main
2015-07-29,Stifel Nicolaus,Buy,,main
2015-10-09,Cowen & Co.,Outperform,,init
2015-11-12,Citigroup,Sell,,init
2015-12-10,Stifel Nicolaus,Buy,,main
2015-12-10,Barclays,Equal-Weight,,main
2015-12-23,Credit Suisse,Outperform,,main
2016-01-05,Evercore ISI Group,Hold,,init
2016-01-21,SunTrust Robinson Humphrey,Buy,Neutral,up
2016-03-07,SunTrust Robinson Humphrey,Neutral,,main
2016-03-17,Nomura,Buy,,init
2016-04-04,Jefferies,Buy,,main
2016-04-04,JP Morgan,Overweight,,main
2016-04-04,BTIG Research,Buy,Neutral,up
2016-04-04,Leerink Swann,Outperform,,main
2016-04-04,BMO Capital,Outperform,,main
2016-04-05,Northland Securities,Market Perform,Outperform,down
2016-04-07,Barclays,Equal-Weight,,main
2016-04-11,JP Morgan,Overweight,,main
2016-04-27,Cowen & Co.,Outperform,,main
2016-04-27,Citigroup,Sell,,main
2016-06-09,Guggenheim,Neutral,,init
2016-07-27,Citigroup,Sell,,main
2016-07-27,Barclays,Equal-Weight,,main
2016-07-27,Bank of America,Buy,Neutral,up
2016-07-27,BTIG Research,Buy,,main
2016-07-27,Morgan Stanley,Overweight,,main
2016-07-27,UBS,Buy,,main
2016-07-28,JMP Securities,Market Outperform,,main
2016-11-08,Northland Securities,Outperform,Market Perform,up
2016-12-07,Cowen & Co.,Outperform,Outperform,main
2017-01-03,Guggenheim,Buy,Neutral,up
2017-02-02,BTIG Research,Neutral,Buy,down
2017-05-16,Goldman Sachs,Buy,,init
2017-07-10,Morgan Stanley,Overweight,,main
2017-07-27,Barclays,Equal-Weight,,main
2017-10-25,Barclays,Equal-Weight,,main
2017-10-26,Deutsche Bank,Hold,,main
2017-10-26,Morgan Stanley,Overweight,,main
2018-01-02,JP Morgan,Neutral,Overweight,down
2018-01-03,Evercore ISI Group,Outperform,,init
2018-01-04,Barclays,Overweight,Equal-Weight,up
2018-02-02,JMP Securities,Market Outperform,Market Outperform,main
2018-02-02,Barclays,Overweight,Overweight,main
2018-02-02,Morgan Stanley,Overweight,Overweight,main
2018-05-31,Raymond James,Outperform,,init
2018-06-27,Bernstein,Market Perform,,init
2018-07-27,Morgan Stanley,Overweight,Overweight,main
2018-07-27,JP Morgan,Neutral,Neutral,main
2018-07-27,Wells Fargo,Outperform,Outperform,main
2018-07-31,Citigroup,Sell,Sell,main
