,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,1924616000.0,956564000.0,795794000.0,818329000.0
Minority Interest,3565000.0,3590000.0,2191000.0,882000.0
Net Income,1415492000.0,696140000.0,590395000.0,618199000.0
Selling General Administrative,16026000.0,18436000.0,44002000.0,45346000.0
Gross Profit,2216724000.0,1219724000.0,1047971000.0,1074301000.0
Ebit,1909326000.0,940437000.0,766692000.0,796563000.0
Operating Income,1909326000.0,940437000.0,766692000.0,796563000.0
Other Operating Expenses,240060000.0,203892000.0,186327000.0,178373000.0
Interest Expense,,,,
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,505771000.0,258350000.0,203778000.0,198539000.0
Total Revenue,16523517000.0,9584393000.0,7942417000.0,8138365000.0
Total Operating Expenses,14614191000.0,8643956000.0,7175725000.0,7341802000.0
Cost Of Revenue,14306793000.0,8364669000.0,6894446000.0,7064064000.0
Total Other Income Expense Net,15290000.0,16127000.0,29102000.0,21766000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,1418845000.0,698214000.0,592016000.0,619790000.0
Net Income Applicable To Common Shares,1415492000.0,696140000.0,590395000.0,618199000.0
