,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,17780000000.0,-1116000000.0,-640000000.0,4345000000.0
Minority Interest,103000000.0,121000000.0,45000000.0,134000000.0
Net Income,17937000000.0,-1279000000.0,47000000.0,3677000000.0
Selling General Administrative,5918000000.0,10124000000.0,12763000000.0,9781000000.0
Gross Profit,16507000000.0,6123000000.0,12876000000.0,14835000000.0
Ebit,10589000000.0,-4001000000.0,113000000.0,5054000000.0
Operating Income,10589000000.0,-4001000000.0,113000000.0,5054000000.0
Other Operating Expenses,,,,
Interest Expense,-1803000000.0,-1651000000.0,-1049000000.0,-1228000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,-130000000.0,160000000.0,-724000000.0,650000000.0
Total Revenue,136341000000.0,127144000000.0,155900000000.0,160338000000.0
Total Operating Expenses,125752000000.0,131145000000.0,155787000000.0,155284000000.0
Cost Of Revenue,119834000000.0,121021000000.0,143024000000.0,145503000000.0
Total Other Income Expense Net,7191000000.0,2885000000.0,-753000000.0,-709000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,17910000000.0,-1276000000.0,84000000.0,3695000000.0
Net Income Applicable To Common Shares,17937000000.0,-1279000000.0,47000000.0,3677000000.0
