,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,1207800000.0,1132700000.0,1043700000.0,987000000.0
Minority Interest,,,,
Net Income,925000000.0,859100000.0,790900000.0,751900000.0
Selling General Administrative,1559800000.0,1426000000.0,1458200000.0,1400200000.0
Gross Profit,2777200000.0,2567800000.0,2515400000.0,2398900000.0
Ebit,1217400000.0,1141800000.0,1057200000.0,998700000.0
Operating Income,1217400000.0,1141800000.0,1057200000.0,998700000.0
Other Operating Expenses,,,,
Interest Expense,-9700000.0,-9700000.0,-13900000.0,-12600000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,282800000.0,273600000.0,252800000.0,235100000.0
Total Revenue,6010900000.0,5647300000.0,5333700000.0,4965100000.0
Total Operating Expenses,4793500000.0,4505500000.0,4276500000.0,3966400000.0
Cost Of Revenue,3233700000.0,3079500000.0,2818300000.0,2566200000.0
Total Other Income Expense Net,-9600000.0,-9100000.0,-13500000.0,-11700000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,925000000.0,859100000.0,790900000.0,751900000.0
Net Income Applicable To Common Shares,925000000.0,859100000.0,790900000.0,751900000.0
