,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,1005100000.0,723200000.0,575300000.0,537000000.0
Minority Interest,,,1200000.0,1800000.0
Net Income,772400000.0,553100000.0,431900000.0,389600000.0
Selling General Administrative,1568200000.0,1278900000.0,1284800000.0,1235700000.0
Gross Profit,2752700000.0,2174800000.0,2058200000.0,1971500000.0
Ebit,1120400000.0,853900000.0,732000000.0,699700000.0
Operating Income,1120400000.0,853900000.0,732000000.0,699700000.0
Other Operating Expenses,,,,
Interest Expense,-84400000.0,-83900000.0,-94200000.0,-74500000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,232700000.0,168800000.0,144000000.0,147000000.0
Total Revenue,7656100000.0,6090300000.0,5764600000.0,5485100000.0
Total Operating Expenses,6535700000.0,5236400000.0,5032600000.0,4785400000.0
Cost Of Revenue,4903400000.0,3915500000.0,3706400000.0,3513600000.0
Total Other Income Expense Net,-115300000.0,-130700000.0,-156700000.0,-162700000.0
Discontinued Operations,,,,-200000.0
Net Income From Continuing Ops,772400000.0,554400000.0,431300000.0,390000000.0
Net Income Applicable To Common Shares,772400000.0,553100000.0,431900000.0,389600000.0
