,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,7664000000.0,1809000000.0,318000000.0,3900000000.0
Minority Interest,9039000000.0,8494000000.0,8150000000.0,8094000000.0
Net Income,4306000000.0,599000000.0,-239000000.0,2602000000.0
Selling General Administrative,376000000.0,391000000.0,447000000.0,454000000.0
Gross Profit,10813000000.0,4071000000.0,2689000000.0,6930000000.0
Ebit,8293000000.0,2075000000.0,621000000.0,4528000000.0
Operating Income,8293000000.0,2075000000.0,621000000.0,4528000000.0
Other Operating Expenses,91000000.0,27000000.0,105000000.0,89000000.0
Interest Expense,-559000000.0,-563000000.0,-542000000.0,-575000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,2299000000.0,944000000.0,510000000.0,991000000.0
Total Revenue,22845000000.0,14198000000.0,14402000000.0,18628000000.0
Total Operating Expenses,14552000000.0,12123000000.0,13781000000.0,14100000000.0
Cost Of Revenue,12032000000.0,10127000000.0,11713000000.0,11698000000.0
Total Other Income Expense Net,-629000000.0,-266000000.0,-303000000.0,-628000000.0
Discontinued Operations,,,3000000.0,-15000000.0
Net Income From Continuing Ops,5365000000.0,865000000.0,-192000000.0,2909000000.0
Net Income Applicable To Common Shares,4299000000.0,596000000.0,-242000000.0,2598000000.0
