Date,Firm,To Grade,From Grade,Action
2012-02-08,Morgan Stanley,Overweight,,main
2012-03-16,Stifel Nicolaus,Buy,,main
2012-04-16,Citigroup,Buy,,up
2012-07-09,Deutsche Bank,Buy,,main
2012-07-16,Citigroup,Buy,,main
2012-07-19,Canaccord Genuity,Buy,,main
2012-09-25,Citigroup,Buy,,main
2012-10-02,Deutsche Bank,Buy,,main
2012-10-22,Canaccord Genuity,Buy,,main
2012-10-23,UBS,Buy,,main
2012-10-23,JP Morgan,Overweight,,main
2012-10-23,Bank of America,Buy,,main
2012-12-06,Citigroup,Neutral,Buy,down
2012-12-06,Deutsche Bank,Hold,Buy,down
2012-12-06,Goldman Sachs,Neutral,Buy,down
2012-12-06,Macquarie,Neutral,Outperform,down
2012-12-06,RBC Capital,Sector Perform,Outperform,down
2012-12-06,Nomura,Neutral,,main
2012-12-06,BMO Capital,Market Perform,Outperform,down
2012-12-20,Deutsche Bank,Buy,Hold,up
2013-01-23,UBS,Buy,,main
2013-03-05,Bank of America,Buy,Neutral,up
2013-03-15,Goldman Sachs,Buy,Neutral,up
2013-04-05,FBR Capital,Outperform,,init
2013-04-15,Citigroup,Sell,Neutral,down
2013-04-22,Bank of America,Buy,,main
2013-04-22,Goldman Sachs,Buy,,main
2013-04-24,Argus Capital,Hold,Buy,down
2013-05-01,Nomura,Buy,Neutral,up
2013-06-10,Stifel Nicolaus,Buy,,main
2013-06-21,UBS,Buy,,main
2013-10-02,Deutsche Bank,Buy,,main
2013-10-03,Wellington Shields,Buy,,init
2013-10-23,Jefferies,,Buy,main
2013-10-23,Credit Suisse,Outperform,,main
2013-11-18,Morgan Stanley,Overweight,,main
2013-11-26,Goldman Sachs,Neutral,Buy,down
2013-12-11,Nomura,Buy,,main
2013-12-12,Bernstein,Outperform,,init
2014-01-23,Morgan Stanley,Overweight,,main
2014-01-24,Citigroup,Sell,,main
2014-03-14,Morgan Stanley,Overweight,,main
2014-03-21,Nomura,Buy,,main
2014-04-03,Macquarie,Outperform,Neutral,up
2014-04-25,JP Morgan,Overweight,,main
2014-07-07,Deutsche Bank,Buy,,main
2014-07-10,HSBC,Overweight,,init
2014-07-14,Citigroup,Sell,,main
2014-07-24,Jefferies,Buy,,main
2014-07-24,Credit Suisse,Outperform,,main
