Date,Firm,To Grade,From Grade,Action
2012-03-19,Citigroup,Buy,,main
2012-03-22,Bank of America,Buy,,main
2012-03-23,Deutsche Bank,Buy,,main
2012-03-23,Jefferies,Hold,,main
2012-06-05,Citigroup,Buy,,main
2012-07-17,Deutsche Bank,Buy,,main
2012-08-10,Avondale Partners,Market Perform,Market Outperform,down
2012-09-05,Wells Fargo,Market Perform,Outperform,down
2012-09-05,Stifel Nicolaus,Buy,,main
2012-09-05,Citigroup,Buy,,main
2012-09-05,Barclays,Overweight,,main
2012-09-05,UBS,Buy,,main
2012-09-05,Bank of America,Buy,,main
2012-09-18,Dahlman Rose,Buy,,main
2012-09-19,Barclays,Overweight,,main
2012-09-19,Bank of America,Buy,,main
2012-09-19,Goldman Sachs,Buy,,main
2012-09-19,Jefferies,Hold,,main
2012-10-10,Bank of America,Buy,,main
2012-10-11,Bank of America,Buy,,main
2012-10-11,Citigroup,Buy,,main
2012-10-11,JP Morgan,Overweight,,main
2012-10-11,Stifel Nicolaus,Buy,,main
2012-12-12,Raymond James,Outperform,Strong Buy,down
2012-12-20,Goldman Sachs,Buy,,main
2012-12-20,Jefferies,Hold,,main
2013-01-07,Barclays,Overweight,,main
2013-01-14,Deutsche Bank,Buy,,main
2013-01-23,Standpoint,Hold,Buy,down
2013-02-27,BB&T Capital,Hold,Buy,down
2013-03-01,Macquarie,Outperform,,init
2013-03-05,Oppenheimer,Outperform,,init
2013-03-21,UBS,Buy,,main
2013-03-21,JP Morgan,Overweight,,main
2013-03-21,Deutsche Bank,Buy,,main
2013-03-21,Jefferies,Hold,,main
2013-04-10,Deutsche Bank,Buy,,main
2013-04-18,RBC Capital,Underperform,Sector Perform,down
2013-04-22,Deutsche Bank,Buy,,main
2013-05-17,JP Morgan,Overweight,,main
2013-05-21,Deutsche Bank,Buy,,main
2013-05-21,Deutsche Bank,Buy,Buy,main
2013-06-04,Bank of America,Buy,,main
2013-06-20,Jefferies,Hold,,main
2013-06-20,JP Morgan,Neutral,Overweight,down
2013-06-21,Standpoint Research,Buy,Hold,up
2013-07-11,Buckingham Research,Buy,,main
2013-07-12,Wunderlich,Buy,,init
2013-08-01,Standpoint Research,Hold,Buy,down
2013-09-19,Deutsche Bank,Buy,,main
2013-09-19,Goldman Sachs,Neutral,Buy,down
2013-09-23,Stifel Nicolaus,Hold,Buy,down
2013-10-16,Buckingham Research,Neutral,Buy,down
2013-10-22,JP Morgan,Overweight,Neutral,up
2013-11-12,Cowen & Co.,Market Perform,Outperform,down
2013-11-25,Barclays,Overweight,,main
2013-11-27,PiperJaffray,Buy,,main
2013-11-27,PiperJaffray,Buy,,main
2013-12-16,Deutsche Bank,Buy,,main
2013-12-17,Credit Suisse,Neutral,,main
2013-12-19,Nomura,Neutral,,main
2013-12-19,Deutsche Bank,Buy,,main
2013-12-26,Argus,Buy,,main
2014-01-14,Susquehanna,Neutral,,init
2014-03-20,Deutsche Bank,Buy,,main
2014-03-20,Avondale Partners,Market Outperform,Market Perform,up
2014-05-08,Barclays,Equal-Weight,Overweight,down
2014-06-19,Oppenheimer,Outperform,,main
2014-06-19,Macquarie,Outperform,,main
2014-06-19,RBC Capital,Sector Perform,Underperform,up
2014-06-20,Barclays,Equal-Weight,,main
2014-09-15,Oppenheimer,Outperform,,main
2014-09-16,Credit Suisse,Neutral,,main
2014-09-18,Citigroup,Buy,,main
2014-09-18,Credit Suisse,Neutral,,main
2014-09-18,Macquarie,Outperform,,main
2014-09-18,Deutsche Bank,Buy,,main
2014-09-18,Wolfe Research,Outperform,Peer Perform,up
2014-09-29,Cowen & Co.,Outperform,Market Perform,up
2014-09-30,Citigroup,Buy,,main
2014-12-04,Oppenheimer,Outperform,,main
2014-12-08,Barclays,Equal-Weight,,main
2014-12-11,UBS,Neutral,,init
2014-12-16,Credit Suisse,Neutral,,main
2014-12-18,Credit Suisse,Neutral,,main
2014-12-18,Goldman Sachs,Buy,Neutral,up
2014-12-18,Morgan Stanley,Equal-Weight,,main
2015-01-06,UBS,Buy,Neutral,up
2015-02-27,Credit Suisse,Outperform,Neutral,up
2015-03-16,Deutsche Bank,Buy,,main
2015-03-19,Deutsche Bank,Buy,,main
2015-03-19,Citigroup,Buy,,main
2015-04-09,Citigroup,Buy,,main
2015-06-10,RBC Capital,Sector Perform,,main
2015-06-11,Credit Suisse,Outperform,,main
2015-06-11,RBC Capital,Sector Perform,,main
2015-06-15,Deutsche Bank,Buy,,main
2015-06-22,Argus,Buy,,main
2015-06-24,Susquehanna,Neutral,,main
2015-09-02,Keefe Bruyette & Woods,Market Perform,,main
2015-09-02,Deutsche Bank,Buy,,main
2015-09-17,Oppenheimer,Outperform,,main
2015-09-17,Deutsche Bank,Buy,,main
2015-09-17,Buckingham Research,Neutral,,main
2015-09-17,UBS,Buy,,main
2015-09-18,Susquehanna,Neutral,,main
2015-10-06,Stifel Nicolaus,Buy,Hold,up
2015-11-02,Barclays,Equal-Weight,,main
2015-11-30,Wolfe Research,Peer Perform,Outperform,down
2015-12-14,Credit Suisse,Outperform,,main
2016-01-11,Deutsche Bank,Buy,,main
