,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,1559000000.0,1129000000.0,1117000000.0,1512000000.0
Minority Interest,,,,
Net Income,1283000000.0,1079000000.0,912000000.0,1348000000.0
Selling General Administrative,-311000000.0,571000000.0,723000000.0,144000000.0
Gross Profit,7418000000.0,7773000000.0,7690000000.0,7764000000.0
Ebit,2229000000.0,1651000000.0,1836000000.0,2358000000.0
Operating Income,2229000000.0,1651000000.0,1836000000.0,2358000000.0
Other Operating Expenses,4198000000.0,4277000000.0,3911000000.0,4126000000.0
Interest Expense,-1114000000.0,-1037000000.0,-1007000000.0,-1097000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,320000000.0,126000000.0,213000000.0,490000000.0
Total Revenue,10943000000.0,10607000000.0,10844000000.0,11063000000.0
Total Operating Expenses,8714000000.0,8956000000.0,9008000000.0,8705000000.0
Cost Of Revenue,3525000000.0,2834000000.0,3154000000.0,3299000000.0
Total Other Income Expense Net,-670000000.0,-522000000.0,-719000000.0,-846000000.0
Discontinued Operations,44000000.0,76000000.0,8000000.0,326000000.0
Net Income From Continuing Ops,1239000000.0,1003000000.0,904000000.0,1022000000.0
Net Income Applicable To Common Shares,1283000000.0,1079000000.0,908000000.0,981000000.0
