Date,Firm,To Grade,From Grade,Action
2012-02-28,Jefferies,Hold,,main
2012-03-05,ISI Group,Buy,,up
2012-03-20,Deutsche Bank,Buy,,main
2012-05-02,Jefferies,Hold,,main
2012-05-02,Deutsche Bank,Buy,,main
2012-05-23,Jefferies,Underperform,,down
2012-07-19,Jefferies,Hold,Underperform,up
2012-08-07,ISI Group,Hold,Buy,down
2012-08-08,UBS,Neutral,Buy,down
2012-08-08,Jefferies,Hold,,main
2012-08-13,ISI Group,Hold,,main
2012-09-13,Bank of America,Buy,,main
2012-10-12,Goldman Sachs,Neutral,,init
2012-10-18,UBS,Neutral,,main
2012-10-23,Deutsche Bank,Buy,,main
2012-10-25,Barclays,Equal-Weight,,main
2012-11-09,BMO Capital,Market Perform,,main
2012-11-09,Deutsche Bank,Buy,,main
2012-12-05,Tudor Pickering,Buy,,init
2012-12-13,UBS,Neutral,,main
2012-12-14,ISI Group,Hold,,main
2012-12-18,Deutsche Bank,Hold,Buy,down
2013-01-08,Citigroup,Neutral,,main
2013-01-22,Jefferies,Underperform,Hold,down
2013-02-26,Credit Suisse,Outperform,,main
2013-02-26,BMO Capital,Market Perform,,main
2013-02-26,UBS,Neutral,,main
2013-02-26,Deutsche Bank,Hold,,main
2013-04-17,Deutsche Bank,Hold,,main
2013-04-18,Jefferies,Underperform,,main
2013-04-29,Jefferies,Underperform,,main
2013-05-08,BMO Capital,Market Perform,,main
2013-05-28,Credit Suisse,Neutral,Outperform,down
2013-06-25,Jefferies,Underperform,,main
2013-08-07,Wells Fargo,Market Perform,Outperform,down
2013-10-01,Deutsche Bank,Hold,,main
2013-10-01,Jefferies,Hold,Underperform,up
2013-11-06,Deutsche Bank,Hold,,main
2013-11-06,Jefferies,Hold,,main
2013-11-15,Jefferies,Hold,,main
2013-12-11,Goldman Sachs,Neutral,Sell,up
2013-12-27,Wells Fargo,Outperform,Market Perform,up
2014-01-03,Citigroup,Sell,Hold,down
2014-04-23,Deutsche Bank,Hold,,main
2014-04-24,Citigroup,Sell,,main
2014-05-07,Jefferies,Buy,Hold,up
2014-05-08,UBS,Neutral,,main
2014-06-09,Jefferies,Buy,,main
2014-07-09,Jefferies,Buy,,main
2014-07-21,Jefferies,Buy,,main
2014-07-23,Citigroup,Sell,,main
2014-07-30,UBS,Sell,Neutral,down
2014-08-06,Barclays,Equal-Weight,,main
2014-08-06,Deutsche Bank,Hold,,main
2014-08-06,BGC Financial,Buy,Hold,up
2014-10-08,Jefferies,Buy,,main
2014-11-05,Deutsche Bank,Hold,,main
2014-11-05,Bank of America,Neutral,,main
2014-11-05,Barclays,Equal-Weight,,main
2014-12-17,Deutsche Bank,Hold,,main
2014-12-24,Jefferies,Buy,,main
2015-01-13,Goldman Sachs,Sell,Neutral,down
2015-02-19,Deutsche Bank,Hold,,main
2015-03-30,Barclays,Overweight,Equal-Weight,up
2015-04-07,Bank of America,Buy,Neutral,up
2015-04-08,Bank of America,Buy,Neutral,up
2015-04-22,Deutsche Bank,Hold,,main
2015-05-04,Jefferies,Buy,,main
2015-08-03,Deutsche Bank,Hold,,main
2015-08-04,RBC Capital,Outperform,Sector Perform,up
2015-09-11,JP Morgan,Overweight,,init
2015-10-13,UBS,Neutral,Sell,up
2015-10-19,Goldman Sachs,Neutral,Sell,up
2015-12-02,Barclays,Overweight,,main
2015-12-03,Guggenheim,Buy,Neutral,up
2016-01-04,Barclays,Overweight,,main
2016-02-17,Deutsche Bank,Hold,,main
2016-03-16,JP Morgan,Overweight,,main
2016-03-18,Barclays,Overweight,,main
2016-04-28,Barclays,Equal-Weight,Overweight,down
2016-04-28,Jefferies,Hold,Buy,down
2016-04-28,RBC Capital,Sector Perform,Outperform,down
2016-05-09,Barclays,Equal-Weight,,main
2016-07-07,Jefferies,Hold,,main
2016-07-20,Citigroup,Sell,,main
2016-07-26,Goldman Sachs,Sell,Neutral,down
2016-08-01,Deutsche Bank,Hold,,main
2016-08-08,Morgan Stanley,Overweight,Equal-Weight,up
2016-08-08,Bank of America,Buy,Neutral,up
2016-10-13,Barclays,Overweight,Equal-Weight,up
2016-10-18,UBS,Neutral,,main
2016-10-18,Citigroup,Neutral,Sell,up
2016-10-18,Evercore ISI Group,Buy,Hold,up
2016-10-25,Deutsche Bank,Buy,Hold,up
2016-12-02,Barclays,Equal-Weight,Overweight,down
2016-12-20,Deutsche Bank,Hold,Buy,down
2017-01-10,Wells Fargo,Market Perform,Outperform,down
2017-01-17,Goldman Sachs,Neutral,Sell,up
2017-05-01,JP Morgan,Neutral,Overweight,down
2017-05-01,Barclays,Overweight,Equal-Weight,up
2017-05-01,Evercore ISI Group,In-Line,Buy,down
2017-06-30,Morgan Stanley,Overweight,,main
2017-07-10,Morgan Stanley,Overweight,,main
2017-07-19,Citigroup,Neutral,,main
2017-07-31,Deutsche Bank,Hold,,main
2017-08-10,Morgan Stanley,Overweight,,main
2017-08-14,Evercore ISI Group,Outperform,In-Line,up
2017-09-08,Morgan Stanley,Overweight,,main
2017-10-12,JP Morgan,Neutral,,main
2017-10-17,Citigroup,Neutral,,main
2017-11-13,Morgan Stanley,Overweight,,main
2018-01-30,Citigroup,Neutral,Neutral,main
2018-02-02,UBS,Buy,,init
2018-02-13,Morgan Stanley,Overweight,Overweight,main
2018-03-08,Morgan Stanley,Overweight,Overweight,main
2018-04-16,Morgan Stanley,Overweight,Overweight,main
2018-04-24,Morgan Stanley,Overweight,Overweight,main
2018-04-30,Wells Fargo,Outperform,Market Perform,up
2018-05-07,Mizuho,Buy,Neutral,up
2018-06-13,Morgan Stanley,Overweight,Overweight,main
2018-07-10,Barclays,Equal-Weight,,init
