,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,795000000.0,260000000.0,403000000.0,1089000000.0
Minority Interest,185000000.0,187000000.0,16000000.0,7000000.0
Net Income,417000000.0,158000000.0,298000000.0,846000000.0
Selling General Administrative,3895000000.0,3428000000.0,2597000000.0,1301000000.0
Gross Profit,5195000000.0,4204000000.0,3723000000.0,2854000000.0
Ebit,1300000000.0,776000000.0,1126000000.0,1553000000.0
Operating Income,1300000000.0,776000000.0,1126000000.0,1553000000.0
Other Operating Expenses,,,,
Interest Expense,-216000000.0,-339000000.0,-389000000.0,-314000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,371000000.0,96000000.0,100000000.0,208000000.0
Total Revenue,13877000000.0,12552000000.0,10333000000.0,8423000000.0
Total Operating Expenses,12577000000.0,11776000000.0,9207000000.0,6870000000.0
Cost Of Revenue,8682000000.0,8348000000.0,6610000000.0,5569000000.0
Total Other Income Expense Net,-505000000.0,-516000000.0,-723000000.0,-464000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,424000000.0,164000000.0,303000000.0,881000000.0
Net Income Applicable To Common Shares,417000000.0,158000000.0,298000000.0,846000000.0
