Date,Firm,To Grade,From Grade,Action
2012-02-15,Sterne Agee,Buy,,main
2012-07-18,Deutsche Bank,Hold,,main
2012-10-02,Credit Suisse,Underperform,Neutral,down
2012-10-05,Baird,Outperform,Neutral,up
2012-12-06,Jefferies,Hold,,init
2013-01-10,Citigroup,Buy,,main
2013-01-23,UBS,Buy,,init
2013-04-12,Sterne Agee,Neutral,Buy,down
2013-06-14,Baird,Neutral,Outperform,down
2013-07-23,Credit Suisse,Neutral,Underperform,up
2013-09-09,SunTrust Robinson Humphrey,Buy,Neutral,up
2013-10-30,Deutsche Bank,Hold,,main
2014-05-02,Raymond James,Outperform,,main
2014-07-07,Citigroup,Buy,,main
2014-08-06,Monness Crespi Hardt,Buy,,init
2014-08-13,JP Morgan,Neutral,,main
2014-10-07,Avondale Partners,Market Perform,Market Outperform,down
2014-10-15,BMO Capital,Market Perform,,init
2014-10-31,Credit Suisse,Neutral,,main
2014-11-03,Jefferies,Hold,,main
2014-11-21,Barclays,Overweight,,main
2015-01-14,Citigroup,Buy,,main
2015-01-26,Jefferies,Hold,,main
2015-02-06,Deutsche Bank,Hold,,main
2015-03-31,Oppenheimer,Outperform,,main
2015-04-10,Barclays,Overweight,,main
2015-04-13,Citigroup,Buy,,main
2015-05-01,Barclays,Overweight,,main
2015-06-10,Baird,Outperform,Neutral,up
2015-06-11,Baird,Outperform,,main
2015-08-13,Oppenheimer,Overweight,,main
2015-08-14,JP Morgan,Neutral,,main
2015-08-20,RBC Capital,Sector Perform,,main
2015-08-26,RBC Capital,Outperform,Sector Perform,up
2015-09-11,SunTrust Robinson Humphrey,Buy,,main
2015-09-30,Cowen & Co.,Outperform,,init
2015-12-01,Goldman Sachs,Neutral,,init
2015-12-02,JP Morgan,Overweight,Neutral,up
2015-12-10,Credit Suisse,Neutral,,init
2015-12-17,Sterne Agee CRT,Neutral,,init
2016-01-12,Wells Fargo,Outperform,,up
2016-02-10,JP Morgan,Overweight,,main
2016-02-10,Deutsche Bank,Hold,,main
2016-04-01,Goldman Sachs,Buy,Neutral,up
2016-04-15,Compass Point,Buy,,init
2016-05-03,Goldman Sachs,Buy,,main
2016-05-09,Jefferies,Buy,Hold,up
2016-05-11,Sterne Agee CRT,Buy,,up
2016-05-29,Avondale Partners,Market Outperform,,main
2016-07-27,Barclays,Overweight,,main
2016-07-27,JP Morgan,Overweight,,main
2016-07-27,Citigroup,Buy,,main
2016-09-09,Wedbush,Outperform,,init
2016-09-26,Barclays,Overweight,,main
2016-10-07,Cantor Fitzgerald,Buy,,init
2016-11-18,Pacific Crest,Overweight,,init
2017-01-06,BMO Capital,Outperform,,init
2017-02-08,Credit Suisse,Outperform,Neutral,up
2017-03-28,Goldman Sachs,Neutral,Buy,down
2017-03-31,Guggenheim,Buy,,init
2017-05-03,Compass Point,Neutral,Buy,down
2017-08-03,BMO Capital,Outperform,,main
2017-08-03,Barclays,Overweight,,main
2017-10-10,Baird,Outperform,,main
2017-10-26,Barclays,Overweight,,main
2017-11-01,Oppenheimer,Overweight,,main
2017-11-01,JP Morgan,Overweight,,main
2017-11-13,KeyBanc,Sector Weight,Overweight,down
2017-12-12,JP Morgan,Neutral,Overweight,down
2018-01-24,Baird,Outperform,Outperform,main
2018-02-07,BMO Capital,Outperform,Outperform,main
2018-05-02,Citigroup,Buy,Buy,main
2018-05-09,Credit Suisse,Outperform,Outperform,main
2018-10-31,Cantor Fitzgerald,Overweight,Overweight,main
2018-10-31,Citigroup,Buy,Buy,main
2018-11-01,Citigroup,Buy,Buy,main
2018-11-15,Barclays,Overweight,,init
2018-12-11,Goldman Sachs,Buy,Neutral,up
2019-03-19,SunTrust Robinson Humphrey,Hold,Buy,down
2019-03-22,Wedbush,Outperform,Outperform,main
2019-04-09,Keefe Bruyette & Woods,Outperform,,init
2019-04-10,Barclays,Overweight,Overweight,main
2019-05-01,Cantor Fitzgerald,Overweight,Overweight,main
2019-05-14,Bank of America,Buy,,init
2019-05-21,Bank of America,Buy,,main
2019-05-31,Susquehanna,Positive,,init
