,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,1766000000.0,1171000000.0,1112000000.0,1565000000.0
Minority Interest,998000000.0,999000000.0,1878000000.0,1878000000.0
Net Income,1334000000.0,958000000.0,893000000.0,1187000000.0
Selling General Administrative,5795000000.0,5528000000.0,3207000000.0,1228000000.0
Gross Profit,8098000000.0,7040000000.0,4926000000.0,2754000000.0
Ebit,2303000000.0,1512000000.0,1719000000.0,1526000000.0
Operating Income,2303000000.0,1512000000.0,1719000000.0,1526000000.0
Other Operating Expenses,,,,
Interest Expense,-696000000.0,-716000000.0,-507000000.0,-193000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,363000000.0,196000000.0,198000000.0,378000000.0
Total Revenue,16226000000.0,14852000000.0,10187000000.0,5823000000.0
Total Operating Expenses,13923000000.0,13340000000.0,8468000000.0,4297000000.0
Cost Of Revenue,8128000000.0,7812000000.0,5261000000.0,3069000000.0
Total Other Income Expense Net,-537000000.0,-341000000.0,-607000000.0,39000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,1403000000.0,975000000.0,914000000.0,1187000000.0
Net Income Applicable To Common Shares,1334000000.0,958000000.0,893000000.0,1187000000.0
