,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,1108808000.0,882525000.0,1077819000.0,1095125000.0
Minority Interest,,,,
Net Income,839497000.0,704216000.0,895073000.0,811483000.0
Selling General Administrative,747948000.0,567410000.0,612016000.0,571765000.0
Gross Profit,2273917000.0,1882550000.0,2118179000.0,1945797000.0
Ebit,1242756000.0,1062623000.0,1233230000.0,1099398000.0
Operating Income,1242756000.0,1062623000.0,1233230000.0,1099398000.0
Other Operating Expenses,-984000.0,-2285000.0,-1277000.0,25000.0
Interest Expense,-113705000.0,-129803000.0,-150048000.0,-138494000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,269311000.0,178309000.0,182746000.0,283642000.0
Total Revenue,2833736000.0,2388855000.0,2648848000.0,2433492000.0
Total Operating Expenses,1590980000.0,1326232000.0,1415618000.0,1334094000.0
Cost Of Revenue,559819000.0,506305000.0,530669000.0,487695000.0
Total Other Income Expense Net,-133948000.0,-180098000.0,-155411000.0,-4273000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,839497000.0,704216000.0,895073000.0,811483000.0
Net Income Applicable To Common Shares,839497000.0,704216000.0,895073000.0,811483000.0
