,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,304700000.0,287900000.0,298100000.0,287700000.0
Effect Of Accounting Charges,,,,
Income Before Tax,893800000.0,729800000.0,655000000.0,608400000.0
Minority Interest,19400000.0,22400000.0,29100000.0,89300000.0
Net Income,736500000.0,551500000.0,477400000.0,502100000.0
Selling General Administrative,713700000.0,676400000.0,715100000.0,703100000.0
Gross Profit,2171700000.0,2052000000.0,2083600000.0,1949400000.0
Ebit,1153300000.0,1087700000.0,1070400000.0,958600000.0
Operating Income,1153300000.0,1087700000.0,1070400000.0,958600000.0
Other Operating Expenses,,,,
Interest Expense,-131100000.0,-151300000.0,-160400000.0,-134500000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,91600000.0,150900000.0,111500000.0,70800000.0
Total Revenue,5045200000.0,4642100000.0,4609800000.0,4285300000.0
Total Operating Expenses,3891900000.0,3554400000.0,3539400000.0,3326700000.0
Cost Of Revenue,2873500000.0,2590100000.0,2526200000.0,2335900000.0
Total Other Income Expense Net,-259500000.0,-357900000.0,-415400000.0,-350200000.0
Discontinued Operations,-68200000.0,-28300000.0,-63300000.0,-26100000.0
Net Income From Continuing Ops,802200000.0,578900000.0,543500000.0,537600000.0
Net Income Applicable To Common Shares,734700000.0,550100000.0,475900000.0,499700000.0
