Date,Firm,To Grade,From Grade,Action
2012-02-17,Societe Generale,Hold,,main
2012-02-27,Jefferies,Buy,,main
2012-05-02,Jefferies,Buy,,main
2012-09-10,Jefferies,Buy,,main
2012-09-19,Goldman Sachs,Neutral,,init
2012-09-28,Bank of America,Neutral,Buy,down
2012-10-25,UBS,Buy,,main
2012-12-12,Goldman Sachs,Neutral,,main
2013-02-11,Jefferies,Buy,,main
2013-04-08,Macquarie,Outperform,Neutral,up
2013-06-04,Credit Suisse,Outperform,,main
2013-07-08,Goldman Sachs,Sell,Neutral,down
2013-08-27,PiperJaffray,Overweight,,init
2014-01-15,Longbow Research,Buy,,up
2014-03-11,PiperJaffray,Neutral,Overweight,down
2014-03-11,Wells Fargo,Market Perform,Outperform,down
2014-03-13,Bank of America,Neutral,,main
2014-03-17,Macquarie,Neutral,,down
2014-05-23,Jefferies,Buy,,main
2014-06-24,Credit Suisse,Outperform,,main
2014-06-24,KeyBanc,Buy,,main
2014-07-14,Jefferies,Hold,Buy,down
2014-07-24,JP Morgan,Overweight,,main
2014-08-04,Jefferies,Hold,,main
2014-08-15,Edward Jones,Buy,Hold,up
2014-10-01,KeyBanc,Buy,,main
2014-10-07,Jefferies,Hold,,main
2014-10-15,Jefferies,Hold,,main
2014-10-16,ISI Group,Buy,,init
2014-12-16,Nomura,Neutral,,init
2015-02-10,Jefferies,Hold,,main
2015-02-10,Vertical Research,Hold,Buy,down
2015-04-20,Monness Crespi Hardt,Neutral,,init
2015-06-04,Seaport Global,Accumulate,,init
2015-08-12,SunTrust Robinson Humphrey,Neutral,,main
2015-08-28,Longbow Research,Neutral,Buy,down
2015-09-18,Cowen & Co.,Outperform,Market Perform,up
2015-09-23,Jefferies,Buy,,up
2015-10-14,Macquarie,Neutral,,main
2015-11-20,Citigroup,Neutral,,init
2016-01-04,PiperJaffray,Underweight,Neutral,down
2016-01-22,Credit Suisse,Outperform,,main
2016-02-16,SunTrust Robinson Humphrey,Neutral,,main
2016-03-18,BMO Capital,Market Perform,,init
2016-04-15,CLSA,Outperform,,init
2016-04-21,Credit Suisse,Neutral,Outperform,down
2016-07-15,Citigroup,Neutral,,main
2016-08-26,Susquehanna,Neutral,,main
2016-11-04,Credit Suisse,Outperform,Neutral,up
2016-11-28,PiperJaffray,Neutral,Underweight,up
2016-12-12,Goldman Sachs,Buy,Neutral,up
2017-02-08,Longbow Research,Buy,Neutral,up
2017-02-23,RBC Capital,Outperform,,init
2017-03-23,Baird,Neutral,,init
2017-04-03,SunTrust Robinson Humphrey,Buy,Hold,up
2017-04-03,Susquehanna,Positive,Neutral,up
2017-05-15,Wells Fargo,Outperform,Market Perform,up
2017-07-18,Seaport Global,Neutral,Buy,down
2017-08-03,BMO Capital,Market Perform,,main
2017-08-04,Nomura,Buy,Neutral,up
2017-08-31,Bank of America,Buy,Underperform,up
2017-09-29,Loop Capital,Buy,,init
2017-10-16,KeyBanc,Buy,,main
2017-11-08,Bank of America,Buy,,main
2017-11-08,Credit Suisse,Outperform,,main
2017-11-08,BMO Capital,Market Perform,,main
2017-11-08,Nomura,Buy,,main
2017-11-08,KeyBanc,Buy,,main
2017-11-13,Citigroup,Neutral,,main
2017-12-05,Stephens & Co.,Equal-Weight,,init
2018-02-14,Credit Suisse,Outperform,Outperform,main
2018-02-14,Citigroup,Buy,Neutral,up
2018-02-15,Seaport Global,Buy,Neutral,up
2018-04-12,BMO Capital,Outperform,Market Perform,up
2018-05-04,Stephens & Co.,Overweight,Equal-Weight,up
2018-05-04,Bank of America,Buy,Buy,main
2018-05-04,Credit Suisse,Outperform,Outperform,main
2018-05-04,BMO Capital,Outperform,Outperform,main
