,2021-06-30,2020-06-30,2019-06-30,2018-06-30
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,2918000000.0,1464000000.0,2224000000.0,2170000000.0
Minority Interest,263000000.0,322000000.0,200000000.0,275000000.0
Net Income,2150000000.0,999000000.0,1595000000.0,2187000000.0
Selling General Administrative,1807000000.0,1741000000.0,1419000000.0,1262000000.0
Gross Profit,4872000000.0,4496000000.0,4062000000.0,3648000000.0
Ebit,2765000000.0,2497000000.0,2431000000.0,2215000000.0
Operating Income,2765000000.0,2497000000.0,2431000000.0,2215000000.0
Other Operating Expenses,,,,
Interest Expense,-395000000.0,-369000000.0,-203000000.0,-43000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,717000000.0,402000000.0,581000000.0,-58000000.0
Total Revenue,12909000000.0,12303000000.0,11389000000.0,10153000000.0
Total Operating Expenses,10144000000.0,9806000000.0,8958000000.0,7938000000.0
Cost Of Revenue,8037000000.0,7807000000.0,7327000000.0,6505000000.0
Total Other Income Expense Net,153000000.0,-1033000000.0,-207000000.0,-45000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,2201000000.0,1062000000.0,1643000000.0,2228000000.0
Net Income Applicable To Common Shares,2150000000.0,999000000.0,1595000000.0,2187000000.0
