Date,Firm,To Grade,From Grade,Action
2012-03-22,Morgan Stanley,Overweight,,up
2012-04-03,FIG Partners,Outperform,,init
2012-07-19,JP Morgan,Overweight,,main
2012-07-20,Jefferies,Hold,,main
2012-07-25,FIG Partners,Outperform,,main
2012-08-14,FIG Partners,Outperform,,main
2012-11-15,Evercore Partners,Overweight,,init
2012-11-20,Credit Suisse,Outperform,,init
2012-11-21,Jefferies,Buy,Hold,up
2013-01-04,Deutsche Bank,Buy,Hold,up
2013-01-17,BMO Capital,Outperform,,main
2013-01-17,Deutsche Bank,Buy,,main
2013-01-18,FIG Partners,Market Perform,Outperform,down
2013-04-09,Goldman Sachs,Buy,,init
2013-04-16,Credit Suisse,Neutral,Outperform,down
2013-05-21,Jefferies,Hold,Buy,down
2013-05-23,Maxim Group,Buy,,init
2013-06-12,Barclays,Overweight,,init
2013-07-09,JP Morgan,Overweight,,main
2013-07-16,Raymond James,Outperform,,init
2013-09-12,BMO Capital,Outperform,,main
2013-10-16,Evercore Partners,Equal-Weight,Overweight,down
2013-10-16,Deutsche Bank,Buy,,main
2013-10-30,Deutsche Bank,Hold,Buy,down
2014-01-07,BMO Capital,Market Perform,Outperform,down
2014-02-04,Keefe Bruyette & Woods,Outperform,Market Perform,up
2014-04-17,Barclays,Overweight,,main
2014-04-17,Fig Partners,Outperform,Market Perform,up
2014-07-17,Barclays,Overweight,,main
2014-07-17,Raymond James,Strong Buy,Outperform,up
2014-07-17,Deutsche Bank,Hold,,main
2014-07-17,JP Morgan,Overweight,,main
2014-07-17,Fig Partners,Market Perform,Outperform,down
2014-09-25,Morgan Stanley,Overweight,,main
2014-10-20,Keefe Bruyette & Woods,Outperform,,main
2014-11-20,Sterne Agee,Underperform,,init
2015-01-13,Goldman Sachs,Neutral,Buy,down
2015-01-23,Keefe Bruyette & Woods,Market Perform,Outperform,down
2015-03-16,BMO Capital,Market Perform,,main
2015-03-16,Raymond James,Market Perform,Strong Buy,down
2015-04-10,Barclays,Overweight,,main
2015-04-20,RBC Capital,Sector Perform,,main
2015-04-23,Keefe Bruyette & Woods,Market Perform,,main
2015-06-12,PiperJaffray,Neutral,,init
2015-06-16,Barclays,Overweight,,main
2015-06-30,Keefe Bruyette & Woods,Market Perform,,main
2015-06-30,Deutsche Bank,Hold,,main
2015-07-17,FBR Capital,Market Perform,Outperform,down
2015-07-20,RBC Capital,Sector Perform,,main
2015-10-09,Barclays,Overweight,,main
2015-10-20,Keefe Bruyette & Woods,Market Perform,,main
2015-11-11,Raymond James,Outperform,Market Perform,up
2015-12-09,Barclays,Overweight,,main
2016-02-22,Jefferies,Buy,Hold,up
2016-02-22,HSBC,Buy,Hold,up
2016-07-15,Keefe Bruyette & Woods,Market Perform,,main
2016-07-15,JP Morgan,Overweight,,main
2016-08-11,Barclays,Overweight,,main
2016-10-11,Deutsche Bank,Hold,,main
2016-10-14,Keefe Bruyette & Woods,Market Perform,,main
