,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,3873000000.0,3738000000.0,4202000000.0,4085000000.0
Minority Interest,,,,
Net Income,3257000000.0,3167000000.0,3484000000.0,3345000000.0
Selling General Administrative,2027000000.0,2113000000.0,2430000000.0,2253000000.0
Gross Profit,6408000000.0,6325000000.0,6987000000.0,6657000000.0
Ebit,4381000000.0,4212000000.0,4557000000.0,4404000000.0
Operating Income,4381000000.0,4212000000.0,4557000000.0,4404000000.0
Other Operating Expenses,,,,
Interest Expense,-431000000.0,-489000000.0,-472000000.0,-374000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,616000000.0,571000000.0,718000000.0,727000000.0
Total Revenue,38469000000.0,37925000000.0,39350000000.0,36193000000.0
Total Operating Expenses,34088000000.0,33713000000.0,34793000000.0,31789000000.0
Cost Of Revenue,32061000000.0,31600000000.0,32363000000.0,29536000000.0
Total Other Income Expense Net,-508000000.0,-474000000.0,-355000000.0,-319000000.0
Discontinued Operations,,,,-13000000.0
Net Income From Continuing Ops,3257000000.0,3167000000.0,3484000000.0,3358000000.0
Net Income Applicable To Common Shares,3257000000.0,3167000000.0,3484000000.0,3345000000.0
