,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,2497000000.0,2565000000.0,3118000000.0,3415000000.0
Effect Of Accounting Charges,,,,
Income Before Tax,-3682000000.0,5970000000.0,-55000000.0,-20988000000.0
Minority Interest,1302000000.0,1522000000.0,1545000000.0,20500000000.0
Net Income,-6520000000.0,5704000000.0,-4979000000.0,-22355000000.0
Selling General Administrative,13210000000.0,14203000000.0,15790000000.0,11450000000.0
Gross Profit,18411000000.0,16136000000.0,22461000000.0,21576000000.0
Ebit,2704000000.0,-632000000.0,3553000000.0,6711000000.0
Operating Income,2704000000.0,-632000000.0,3553000000.0,6711000000.0
Other Operating Expenses,,,,
Interest Expense,-1876000000.0,-2068000000.0,-2927000000.0,-2415000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,-286000000.0,-487000000.0,552000000.0,93000000.0
Total Revenue,74196000000.0,75834000000.0,90221000000.0,97012000000.0
Total Operating Expenses,71492000000.0,76466000000.0,86668000000.0,90301000000.0
Cost Of Revenue,55785000000.0,59698000000.0,67760000000.0,75436000000.0
Total Other Income Expense Net,-6386000000.0,6602000000.0,-3608000000.0,-27699000000.0
Discontinued Operations,-3195000000.0,-911000000.0,-4306000000.0,-1363000000.0
Net Income From Continuing Ops,-3396000000.0,6457000000.0,-607000000.0,-21081000000.0
Net Income Applicable To Common Shares,-6766000000.0,5066000000.0,-5440000000.0,-22809000000.0
