Date,Firm,To Grade,From Grade,Action
2012-02-14,Morgan Stanley,Overweight,,init
2012-06-28,Jefferies,Hold,,main
2012-06-28,Deutsche Bank,Buy,,main
2012-09-04,JP Morgan,Neutral,Overweight,down
2012-09-18,JP Morgan,Neutral,,main
2012-09-19,Deutsche Bank,Buy,,main
2012-09-20,BMO Capital,Outperform,,main
2012-12-13,Bank of America,Buy,,main
2012-12-20,Barclays,Overweight,,main
2012-12-20,Stifel Nicolaus,Buy,,main
2013-01-11,Goldman Sachs,Sell,Neutral,down
2013-02-20,Deutsche Bank,Buy,,main
2013-03-19,JP Morgan,Neutral,,main
2013-03-21,UBS,Neutral,,main
2013-03-21,Stifel Nicolaus,Buy,,main
2013-03-21,Deutsche Bank,Buy,,main
2013-03-21,BMO Capital,Outperform,,main
2013-03-21,Jefferies,Hold,,main
2013-03-21,Credit Suisse,Neutral,,main
2013-03-27,Argus Capital,Buy,Hold,up
2013-04-01,Morgan Stanley,Equal-Weight,Overweight,down
2013-04-03,Deutsche Bank,Buy,,main
2013-04-22,JP Morgan,Neutral,,main
2013-06-27,Jefferies,Hold,,main
2013-08-16,Jefferies,Underperform,Hold,down
2013-09-19,Wells Fargo,Market Perform,Outperform,down
2013-10-21,Bank of America,Neutral,Buy,down
2013-11-25,RBC Capital,Outperform,,init
2014-01-14,Morgan Stanley,Underweight,Equal-weight,down
2014-01-31,Societe Generale,Hold,,init
2014-03-20,Citigroup,Buy,,main
2014-04-04,Argus,Hold,Buy,down
2014-06-02,Deutsche Bank,Buy,,main
2014-06-23,JP Morgan,Neutral,,main
2014-06-25,Barclays,Equal-Weight,,down
2014-06-26,Credit Suisse,Neutral,,main
2014-06-26,JP Morgan,Neutral,,main
2014-06-26,Stifel Nicolaus,Buy,,main
2014-06-26,Deutsche Bank,Buy,,main
2014-07-09,JP Morgan,,Neutral,main
2014-09-09,Deutsche Bank,Buy,,main
2014-09-17,Societe Generale,Sell,Hold,down
2014-11-07,Deutsche Bank,Hold,Buy,down
2014-11-10,Bank of America,Neutral,,main
2014-11-10,RBC Capital,Sector Perform,Outperform,down
2014-11-12,JP Morgan,Neutral,,main
2015-01-05,Bank of America,Underperform,Neutral,down
2015-03-19,Citigroup,Buy,,main
2015-04-20,Goldman Sachs,Neutral,Sell,up
2015-06-01,Deutsche Bank,Hold,,main
2015-07-21,RBC Capital,Outperform,Sector Perform,up
2015-09-02,Morgan Stanley,Equal-Weight,Underweight,up
2015-09-23,Bernstein,Market Perform,,main
2015-10-26,Susquehanna,Neutral,,init
2016-02-24,UBS,Neutral,,init
2016-03-24,Citigroup,Buy,,main
2016-03-24,Goldman Sachs,Neutral,,main
2016-03-24,JP Morgan,Neutral,,main
2016-03-24,Stifel Nicolaus,Buy,,main
2016-04-11,Citigroup,Buy,,main
2016-05-24,Goldman Sachs,Sell,Neutral,down
2016-06-30,Bank of America,Neutral,Underperform,up
2016-06-30,Goldman Sachs,Sell,,main
2016-07-14,Morgan Stanley,Equal-Weight,,main
2016-09-20,Consumer Edge,Underperform,Neutral,down
2016-09-22,UBS,Neutral,,main
2016-12-15,RBC Capital,Sector Perform,Outperform,down
2017-02-15,Deutsche Bank,Hold,,init
2017-03-21,Bernstein,Underperform,Market Perform,down
2017-03-22,Stifel Nicolaus,Hold,,down
2017-03-23,Argus,Hold,,reit
2017-05-25,PiperJaffray,Underweight,,init
2017-09-21,Bank of America,Neutral,,main
2017-09-21,BMO Capital,Market Perform,,main
2017-09-21,UBS,Neutral,,main
2017-09-21,Morgan Stanley,Equal-Weight,,main
2017-09-22,Wells Fargo,Market Perform,,main
2017-10-20,Jefferies,Hold,,init
2017-11-08,Societe Generale,Hold,Sell,up
2018-01-03,PiperJaffray,Neutral,Underweight,up
2018-02-14,Jefferies,Buy,Hold,up
2018-02-26,Societe Generale,Sell,Hold,down
2018-02-27,Citigroup,Buy,Buy,main
2018-03-14,JP Morgan,Neutral,Neutral,main
2018-03-22,Morgan Stanley,Equal-Weight,Equal-Weight,main
2018-03-22,BMO Capital,Market Perform,Market Perform,main
2018-03-22,UBS,Neutral,Neutral,main
2018-03-22,Stifel Nicolaus,Hold,Hold,main
2018-03-22,Societe Generale,Hold,Sell,up
2018-03-23,Susquehanna,Positive,Neutral,up
2018-06-29,Citigroup,Buy,Buy,main
2018-09-20,Morgan Stanley,Equal-Weight,Equal-Weight,main
2018-12-26,Standpoint Research,Buy,,init
2019-01-23,Guggenheim,Buy,,init
2019-02-25,Wells Fargo,Outperform,Outperform,main
2019-03-14,Deutsche Bank,Buy,Hold,up
2019-03-21,Credit Suisse,Neutral,Neutral,main
2019-03-21,Morgan Stanley,Equal-Weight,Equal-Weight,main
2019-03-21,BMO Capital,Market Perform,Market Perform,main
2019-03-21,Citigroup,Buy,Buy,reit
2019-05-29,Goldman Sachs,Sell,Neutral,down
2019-06-12,Evercore ISI Group,In-Line,,init
2019-06-27,Morgan Stanley,Equal-Weight,,main
2019-06-27,UBS,Neutral,,main
2019-09-19,Stifel Nicolaus,Hold,,main
2019-09-19,Morgan Stanley,Equal-Weight,,main
2019-10-17,RBC Capital,Sector Perform,,init
2019-12-19,BMO Capital,Market Perform,,main
2019-12-20,UBS,Neutral,,main
2020-02-19,Credit Suisse,Neutral,,main
2020-03-06,CFRA,Buy,Hold,up
2020-03-18,Bernstein,Market Perform,Underperform,up
2020-03-19,Stifel,Hold,,main
2020-04-15,Piper Sandler,Overweight,Neutral,up
2020-04-17,JP Morgan,Neutral,,main
2020-05-12,UBS,Neutral,,main
2020-05-12,Deutsche Bank,Buy,,main
2020-05-13,Wells Fargo,Overweight,,main
2020-05-19,Piper Sandler,Overweight,,main
2020-06-11,Bernstein,Underperform,Market Perform,down
2020-07-02,Morgan Stanley,Equal-Weight,,main
2020-08-28,Citigroup,Neutral,,init
2020-09-24,Morgan Stanley,Equal-Weight,,main
2020-09-24,Piper Sandler,Overweight,,main
2020-09-25,Credit Suisse,Outperform,Neutral,up
2021-01-14,Morgan Stanley,Equal-Weight,,main
2021-01-15,Credit Suisse,Outperform,,main
2021-03-23,Credit Suisse,Outperform,,main
2021-03-25,Credit Suisse,Outperform,,main
2021-09-13,Credit Suisse,Neutral,Outperform,down
2021-09-21,Morgan Stanley,Underweight,Equal-Weight,down
2021-09-23,RBC Capital,Sector Perform,,main
2021-10-01,Citigroup,Buy,Neutral,up
2021-12-22,Citigroup,Buy,,main
2021-12-22,Morgan Stanley,Underweight,,main
2021-12-22,Credit Suisse,Neutral,,main
2022-02-23,Deutsche Bank,Buy,,main
2022-03-22,JP Morgan,Neutral,,main
2022-03-24,Deutsche Bank,Buy,,main
2022-03-24,Piper Sandler,Overweight,,main
2022-03-30,UBS,Neutral,,init
