Date,Firm,To Grade,From Grade,Action
2019-09-20,Credit Suisse,Outperform,,init
2019-10-10,UBS,Sell,,main
2019-11-15,Morgan Stanley,Underweight,,main
2020-01-23,B of A Securities,Buy,,main
2020-03-17,Morgan Stanley,Underweight,,main
2020-04-23,Morgan Stanley,Underweight,,main
2020-04-24,SunTrust Robinson Humphrey,Hold,,main
2020-06-05,Piper Sandler,Neutral,,init
2020-07-02,Piper Sandler,Neutral,,main
2020-07-06,Morgan Stanley,Underweight,,main
2020-07-23,Morgan Stanley,Underweight,,main
2020-08-20,Morgan Stanley,Underweight,,main
2020-10-06,Morgan Stanley,Underweight,,main
2020-10-22,Morgan Stanley,Underweight,,main
2020-10-23,Truist Securities,Hold,,main
2020-11-18,Morgan Stanley,Underweight,,main
2020-12-04,Credit Suisse,Outperform,,main
2021-01-15,Morgan Stanley,Underweight,,main
2021-02-25,Morgan Stanley,Underweight,,main
2021-04-01,Morgan Stanley,Underweight,,main
2021-04-05,JP Morgan,Overweight,,main
2021-05-19,Morgan Stanley,Underweight,,main
2021-06-07,Credit Suisse,Outperform,,main
2021-07-08,Piper Sandler,Neutral,,main
2021-10-19,Credit Suisse,Outperform,,main
2021-11-18,Morgan Stanley,Underweight,,main
2022-01-07,Morgan Stanley,Underweight,,main
2022-01-12,Piper Sandler,Overweight,Neutral,up
2022-01-21,Wolfe Research,Underperform,,init
2022-01-26,Jefferies,Hold,,init
2022-02-22,Morgan Stanley,Underweight,,main
