,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,994000000.0,907000000.0,1001000000.0,987000000.0
Effect Of Accounting Charges,,,,
Income Before Tax,2397000000.0,623000000.0,1216000000.0,1503000000.0
Minority Interest,212000000.0,191000000.0,90000000.0,94000000.0
Net Income,1906000000.0,512000000.0,960000000.0,1066000000.0
Selling General Administrative,1727000000.0,1589000000.0,1649000000.0,1873000000.0
Gross Profit,5143000000.0,3974000000.0,4423000000.0,4558000000.0
Ebit,2293000000.0,1357000000.0,1660000000.0,1604000000.0
Operating Income,2293000000.0,1357000000.0,1660000000.0,1604000000.0
Other Operating Expenses,,,,
Interest Expense,-300000000.0,-276000000.0,-221000000.0,-191000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,491000000.0,111000000.0,256000000.0,437000000.0
Total Revenue,14082000000.0,11303000000.0,11503000000.0,11290000000.0
Total Operating Expenses,11789000000.0,9946000000.0,9843000000.0,9686000000.0
Cost Of Revenue,8939000000.0,7329000000.0,7080000000.0,6732000000.0
Total Other Income Expense Net,104000000.0,-734000000.0,-444000000.0,-101000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,1906000000.0,512000000.0,960000000.0,1066000000.0
Net Income Applicable To Common Shares,1079000000.0,414000000.0,862000000.0,968000000.0
