Date,Firm,To Grade,From Grade,Action
2012-04-26,UBS,Buy,,main
2012-04-26,JP Morgan,Underweight,,main
2012-04-26,Citigroup,Neutral,,main
2012-04-26,PiperJaffray,Overweight,,main
2012-04-26,Sterne Agee,Buy,,main
2012-04-26,Goldman Sachs,Neutral,,main
2012-05-18,Susquehanna,Neutral,,init
2012-06-22,JP Morgan,Neutral,Underweight,up
2012-07-26,Barclays,Overweight,,main
2012-07-26,UBS,Buy,,main
2012-08-31,Oppenheimer,Outperform,Perform,up
2012-09-19,Goldman Sachs,Buy,Neutral,up
2012-10-25,Barclays,Overweight,,main
2012-11-27,Citigroup,Neutral,,main
2012-11-27,Topeka,Buy,,up
2013-01-11,Goldman Sachs,Neutral,Buy,down
2013-01-17,RBC Capital,Sector Perform,Outperform,down
2013-01-28,Barclays,Equal-weight,Overweight,down
2013-01-30,Morgan Stanley,Underweight,,main
2013-01-30,Barclays,Equal-Weight,,main
2013-02-28,Bernstein,Outperform,,init
2013-04-25,Stifel Nicolaus,Buy,,main
2013-05-13,Barclays,Overweight,Equal-Weight,up
2013-06-21,UBS,Buy,,main
2013-09-03,Oppenheimer,Perform,Outperform,down
2013-09-19,Cantor Fitzgerald,Hold,,init
2013-09-23,Gilford Securities,Buy,,init
2013-10-11,PiperJaffray,Neutral,Overweight,down
2013-10-23,Sterne Agee,Neutral,Buy,down
2013-10-23,Stifel Nicolaus,Buy,,main
2013-10-24,Cross Research,Buy,Hold,up
2013-12-11,Citigroup,Neutral,,main
2014-01-27,Bank of America,Buy,,main
2014-03-26,Susquehanna,Positive,Neutral,up
2014-04-11,UBS,Neutral,Buy,down
2014-04-29,UBS,Neutral,,main
2014-04-29,JP Morgan,Neutral,,main
2014-04-30,HSBC,Neutral,Overweight,down
2014-07-30,Citigroup,Neutral,,main
2014-10-14,Bank of America,Neutral,Buy,down
2014-10-15,Standpoint,Buy,Hold,up
2014-10-30,HSBC,Overweight,,up
2014-11-04,Standpoint Research,Buy,Hold,up
2014-11-04,Standpoint Research,Hold,Buy,down
2014-12-18,Citigroup,Buy,,main
2015-01-12,Barclays,Overweight,,main
2015-01-15,JP Morgan,Overweight,Neutral,up
2015-02-02,Jefferies,Hold,,main
2015-02-09,JP Morgan,Overweight,,main
2015-03-20,Citigroup,Buy,,main
2015-04-09,Susquehanna,Positive,,main
2015-04-29,CLSA,Sell,Underperform,down
2015-04-30,HSBC,Hold,Buy,down
2015-06-16,RBC Capital,Outperform,Sector Perform,up
2015-07-10,UBS,Neutral,Buy,down
2015-07-13,Bank of America,Underperform,Neutral,down
2015-07-29,Benchmark,Hold,,main
2015-09-15,Deutsche Bank,Buy,,init
2015-09-28,Sterne Agee CRT,Neutral,,init
2015-09-29,Barclays,Overweight,,main
2015-12-17,JP Morgan,Neutral,Overweight,down
2016-01-22,UBS,Neutral,,main
2016-01-26,Drexel Hamilton,Hold,,main
2016-04-08,Deutsche Bank,Buy,,main
2016-04-12,Goldman Sachs,Buy,Neutral,up
2016-06-10,Drexel Hamilton,Sell,Buy,down
2016-06-13,Standpoint Research,Hold,Buy,down
2016-06-20,Citigroup,Buy,,init
2016-07-28,UBS,Neutral,,main
2016-08-26,Citigroup,Buy,,main
2016-11-02,Goldman Sachs,Buy,,main
2016-12-21,Wells Fargo,Market Perform,,init
2017-01-04,Guggenheim,Buy,,init
2017-02-01,Bernstein,Market Perform,Outperform,down
2017-03-14,Goldman Sachs,Neutral,Buy,down
2017-03-31,Citigroup,Neutral,Buy,down
2017-08-15,Goldman Sachs,Sell,Neutral,down
2017-10-25,Deutsche Bank,Buy,,main
2017-10-25,Citigroup,Neutral,,main
2018-01-25,Citigroup,Neutral,Neutral,main
2018-03-09,Citigroup,Neutral,Neutral,main
2018-05-03,JP Morgan,Neutral,,init
2018-05-31,Morgan Stanley,Overweight,Equal-Weight,up
2018-07-26,UBS,Neutral,Neutral,main
2018-07-26,Morgan Stanley,Overweight,Overweight,main
2018-09-14,Citigroup,Buy,Neutral,up
2018-10-24,UBS,Neutral,Neutral,main
2018-10-24,Citigroup,Buy,Buy,main
2019-05-01,Bank of America,Buy,Neutral,up
2019-08-01,Susquehanna,Neutral,Positive,down
2019-08-08,Barclays,Overweight,,init
2019-09-17,Cross Research,Neutral,Buy,down
2019-09-18,UBS,Neutral,,main
2019-09-18,Morgan Stanley,Overweight,,main
2019-10-30,Citigroup,Buy,,main
2019-10-30,Deutsche Bank,Hold,Buy,down
2020-01-08,Morgan Stanley,Equal-Weight,Overweight,down
2020-03-19,Morgan Stanley,Equal-Weight,,main
2020-04-07,Morgan Stanley,Equal-Weight,,main
2020-04-29,Barclays,Equal-Weight,Overweight,down
2020-06-10,Morgan Stanley,Equal-Weight,,main
2020-06-18,JP Morgan,Neutral,,main
2020-07-29,Barclays,Equal-Weight,,main
2020-09-17,B of A Securities,Buy,,reit
2020-10-23,Morgan Stanley,Equal-Weight,,main
2020-10-28,Morgan Stanley,Equal-Weight,,main
2020-12-11,JP Morgan,Neutral,Overweight,down
2020-12-15,Morgan Stanley,Equal-Weight,,main
2021-01-06,UBS,Buy,,init
2021-01-14,Barclays,Overweight,Equal-Weight,up
2021-01-28,Oppenheimer,Outperform,Perform,up
2021-04-06,Morgan Stanley,Equal-Weight,,main
2021-04-19,JP Morgan,Overweight,Neutral,up
2021-04-28,Morgan Stanley,Equal-Weight,,main
2021-07-28,Morgan Stanley,Equal-Weight,,main
2021-10-08,Deutsche Bank,Buy,,init
2022-01-04,UBS,Buy,,main
2022-01-14,Deutsche Bank,Hold,Buy,down
2022-01-27,Barclays,Overweight,,main
2022-01-27,JP Morgan,Overweight,,main
2022-01-27,Goldman Sachs,Buy,Neutral,up
2022-01-28,Susquehanna,Positive,Neutral,up
2022-05-11,Barclays,Equal-Weight,Overweight,down
