,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,12716000000.0,8095000000.0,7436000000.0,8549000000.0
Minority Interest,6071000000.0,4647000000.0,4165000000.0,3917000000.0
Net Income,10019000000.0,6427000000.0,6732000000.0,8014000000.0
Selling General Administrative,6645000000.0,5943000000.0,7694000000.0,7985000000.0
Gross Profit,18079000000.0,14502000000.0,14138000000.0,14278000000.0
Ebit,11434000000.0,8559000000.0,6444000000.0,6293000000.0
Operating Income,11434000000.0,8559000000.0,6444000000.0,6293000000.0
Other Operating Expenses,,,,
Interest Expense,-950000000.0,-1098000000.0,-782000000.0,-655000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,2771000000.0,1774000000.0,769000000.0,474000000.0
Total Revenue,127004000000.0,122485000000.0,137237000000.0,147049000000.0
Total Operating Expenses,115570000000.0,113926000000.0,130793000000.0,140756000000.0
Cost Of Revenue,108925000000.0,107983000000.0,123099000000.0,132771000000.0
Total Other Income Expense Net,1282000000.0,-464000000.0,992000000.0,2256000000.0
Discontinued Operations,,,,-70000000.0
Net Income From Continuing Ops,9945000000.0,6321000000.0,6667000000.0,8075000000.0
Net Income Applicable To Common Shares,9837000000.0,6247000000.0,6581000000.0,7916000000.0
