Date,Firm,To Grade,From Grade,Action
2012-03-06,Stifel Nicolaus,Hold,,init
2012-06-04,Goldman Sachs,Neutral,,main
2012-09-19,Canaccord Genuity,Buy,,init
2012-09-20,BMO Capital,Outperform,,init
2012-10-01,Oppenheimer,Outperform,,main
2012-10-02,BMO Capital,Outperform,,main
2012-10-02,Canaccord Genuity,Buy,,main
2012-10-02,Goldman Sachs,Neutral,,main
2012-10-12,JP Morgan,Neutral,,main
2012-10-31,Bank of America,Neutral,Underperform,up
2012-10-31,KeyBanc,Buy,Hold,up
2012-11-01,Goldman Sachs,Neutral,,main
2012-11-01,Canaccord Genuity,Buy,,main
2012-11-01,BMO Capital,Outperform,,main
2012-11-05,JP Morgan,Neutral,,main
2012-11-12,BMO Capital,Outperform,,main
2013-02-14,Bank of America,Neutral,,main
2013-02-15,Goldman Sachs,Sell,Neutral,down
2013-02-15,Stifel Nicolaus,Buy,Hold,up
2013-10-24,KeyBanc,Hold,Buy,down
2013-10-28,Goldman Sachs,Neutral,Sell,up
2014-01-08,Stifel,Hold,Buy,down
2014-01-24,Bank of America,Neutral,Buy,down
2014-01-31,Baird,Outperform,Neutral,up
2014-07-01,Bank of America,Neutral,Buy,down
2014-08-01,Canaccord Genuity,Hold,Buy,down
2014-10-22,KeyBanc,Buy,Hold,up
2014-11-07,Canaccord Genuity,Hold,,main
2014-11-10,Bank of America,Neutral,,main
2015-02-12,Canaccord Genuity,Hold,,main
2015-05-01,Canaccord Genuity,Hold,,main
2015-07-02,Bank of America,Underperform,Neutral,down
2015-07-10,KeyBanc,Overweight,,main
2015-08-07,Canaccord Genuity,Hold,,main
2015-10-29,Bank of America,Neutral,Underperform,up
2015-11-03,SunTrust Robinson Humphrey,Neutral,,init
2016-03-14,Bank of America,Buy,Neutral,up
2017-01-13,Bank of America,Underperform,Neutral,down
2017-04-05,KeyBanc,Sector Weight,Overweight,down
2017-07-11,Wolfe Research,Peer Perform,,init
2017-09-07,Bank of America,Neutral,Underperform,up
2017-09-11,Canaccord Genuity,Hold,,main
2017-09-15,Bank of America,Buy,Neutral,up
2017-10-02,KeyBanc,Overweight,Sector Weight,up
2017-10-20,KeyBanc,Overweight,,main
2017-10-23,Bank of America,Buy,,main
2017-10-26,Canaccord Genuity,Hold,,main
2017-11-03,Canaccord Genuity,Hold,,main
2018-02-14,SunTrust Robinson Humphrey,Buy,Hold,up
2018-05-24,Baird,Neutral,Outperform,down
2018-07-17,Goldman Sachs,Sell,Neutral,down
2018-08-02,Stifel Nicolaus,Hold,Hold,main
2018-09-11,Canaccord Genuity,Hold,Hold,main
2018-09-13,KeyBanc,Overweight,Overweight,main
2018-10-02,KeyBanc,Sector Weight,Overweight,down
2018-10-18,Goldman Sachs,Neutral,,up
2018-11-02,Baird,Neutral,Neutral,main
2019-02-06,William Blair,Market Perform,Outperform,down
2019-05-03,Northcoast Research,Buy,Neutral,up
2019-07-01,Baird,Outperform,Neutral,up
2019-09-05,Bank of America,Buy,,reit
2019-09-06,Canaccord Genuity,Hold,,main
2019-11-01,Bank of America,Neutral,Buy,down
2020-01-24,Oppenheimer,Outperform,Perform,up
2020-03-19,Goldman Sachs,Neutral,,main
2020-03-23,B of A Securities,Neutral,,reit
2020-03-27,William Blair,Outperform,Market Perform,up
2020-05-01,Oppenheimer,Outperform,,main
2020-05-01,Stifel,Hold,,main
2020-06-19,Baird,Outperform,,main
2020-07-21,JP Morgan,Overweight,,init
2020-07-31,Canaccord Genuity,Buy,Hold,up
2020-08-06,B of A Securities,Buy,Neutral,up
2020-08-27,B of A Securities,Buy,,main
2020-09-14,Argus Research,Buy,,init
2020-09-28,Roth Capital,Buy,,reit
2020-10-06,JMP Securities,Market Outperform,,init
2020-10-15,Canaccord Genuity,Buy,,main
2020-10-16,Stephens & Co.,Overweight,,init
2020-10-29,Roth Capital,Buy,,main
2021-02-04,Roth Capital,Buy,,main
2021-02-12,Canaccord Genuity,Buy,,main
2021-02-12,Roth Capital,Buy,,main
2021-02-12,Oppenheimer,Outperform,,main
