Date,Firm,To Grade,From Grade,Action
2012-03-14,Oxen Group,Hold,,init
2012-03-28,Citigroup,Buy,,main
2012-04-03,Global Equities Research,Overweight,,main
2012-04-05,Deutsche Bank,Buy,,main
2012-04-09,Pivotal Research,Buy,,main
2012-04-10,UBS,Buy,,main
2012-04-13,Benchmark,Hold,,main
2012-04-13,Deutsche Bank,Buy,,main
2012-04-13,Jefferies,Buy,,main
2012-04-13,PiperJaffray,Overweight,,main
2012-04-13,BMO Capital,Outperform,,main
2012-04-13,JP Morgan,Overweight,,main
2012-04-13,Oppenheimer,Outperform,,main
2012-04-13,Goldman Sachs,Neutral,,main
2012-04-16,Hilliard Lyons,Buy,,main
2012-06-06,Deutsche Bank,Buy,,main
2012-06-06,JP Morgan,Overweight,,main
2012-06-22,Citigroup,Buy,,main
2012-07-13,Wedbush,Neutral,,init
2012-07-17,,Outperform,,main
2012-07-20,Deutsche Bank,Buy,,main
2012-07-20,Bank of America,Buy,,main
2012-07-20,Benchmark,Hold,,main
2012-08-13,Morgan Stanley,Overweight,Equal-Weight,up
2012-09-17,Global Equities Research,Overweight,,main
2012-09-21,Cantor Fitzgerald,Buy,,init
2012-09-24,Pivotal Research,Buy,,main
2012-09-24,Citigroup,Buy,,main
2012-09-25,Capstone,Buy,,main
2012-09-26,Oracle Investment Research,Hold,Buy,down
2012-09-26,Canaccord Genuity,Buy,,main
2012-10-11,ThinkEquity,Buy,,main
2012-10-11,Nomura,Buy,,main
2012-10-12,JP Morgan,Overweight,,main
2012-10-15,PiperJaffray,Overweight,,main
2012-10-15,Oppenheimer,Outperform,,main
2012-10-17,Wedbush,Neutral,,main
2012-10-19,Oppenheimer,Perform,Outperform,down
2012-10-19,Citigroup,Buy,,main
2012-10-19,Bank of America,Neutral,Buy,down
2012-10-19,Nomura,Buy,,main
2012-10-19,Canaccord Genuity,Buy,,main
2012-10-19,Wedbush,Neutral,,main
2012-10-19,Credit Suisse,Outperform,,main
2012-10-19,Barclays,Overweight,,main
2012-10-19,Hilliard Lyons,Long-Term Buy,Buy,down
2012-11-29,Oracle Investment Research,,Hold,up
2013-01-02,Oppenheimer,Perform,,main
2013-01-07,Pivotal Research,Buy,,main
2013-01-08,Bank of America,Neutral,,main
2013-01-15,Morgan Stanley,Overweight,,main
2013-01-18,Hudson Square,Hold,Buy,down
2013-01-18,Nomura,Buy,,main
2013-01-23,Oppenheimer,Perform,,main
2013-01-23,Jefferies,Buy,,main
2013-01-23,Bank of America,Neutral,,main
2013-01-23,Goldman Sachs,Neutral,,main
2013-01-23,Canaccord Genuity,Buy,,main
2013-01-23,Wedbush,Neutral,,main
2013-01-23,BGC Financial,Hold,,main
2013-01-23,Barclays,Overweight,,main
2013-01-23,BMO Capital,Outperform,,main
2013-02-04,BMO Capital,Market Perform,Outperform,down
2013-02-05,Oracle Investment Research,Sell,Neutral,down
2013-02-06,Sterne Agee,Neutral,,init
2013-02-06,Hilliard Lyons,Neutral,Long-term Buy,down
2013-02-07,Pivotal Research,Hold,Buy,down
2013-02-21,CLSA,Buy,,main
2013-02-21,Bernstein,Outperform,,main
2013-02-21,Deutsche Bank,Buy,,main
