,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,1156898000.0,682253000.0,531466000.0,562155000.0
Minority Interest,241216000.0,154674000.0,199242000.0,194936000.0
Net Income,965460000.0,584520000.0,430613000.0,452053000.0
Selling General Administrative,3032361000.0,2597978000.0,2061572000.0,1478197000.0
Gross Profit,4788237000.0,3811431000.0,2852989000.0,2271352000.0
Ebit,1755876000.0,1213453000.0,791417000.0,793155000.0
Operating Income,1755876000.0,1213453000.0,791417000.0,793155000.0
Other Operating Expenses,,,,
Interest Expense,-328000000.0,-326800000.0,-301200000.0,-195500000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,169034000.0,77153000.0,62190000.0,77488000.0
Total Revenue,8523762000.0,7423558000.0,4911892000.0,3366366000.0
Total Operating Expenses,6767886000.0,6210105000.0,4120475000.0,2573211000.0
Cost Of Revenue,3735525000.0,3612127000.0,2058903000.0,1095014000.0
Total Other Income Expense Net,-598978000.0,-531200000.0,-259951000.0,-231000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,987864000.0,605100000.0,469276000.0,484667000.0
Net Income Applicable To Common Shares,965460000.0,584520000.0,430613000.0,452053000.0
