Date,Firm,To Grade,From Grade,Action
2012-02-10,DA Davidson,Neutral,,main
2012-02-17,Wedbush,Neutral,,main
2012-02-23,Goldman Sachs,Neutral,,main
2012-02-23,Dougherty,Neutral,,down
2012-05-02,Wedbush,Neutral,,main
2012-05-02,DA Davidson,Neutral,,main
2012-07-09,DA Davidson,Neutral,,main
2012-08-02,Wedbush,Outperform,Neutral,up
2012-08-02,DA Davidson,Neutral,,main
2012-08-31,Wells Fargo,Outperform,,init
2012-11-12,Goldman Sachs,Sell,Neutral,down
2013-02-15,William Blair,Outperform,,init
2013-02-21,DA Davidson,Neutral,,main
2013-04-30,Pacific Crest,Sector Perform,Outperform,down
2013-06-07,Raymond James,Outperform,,init
2013-08-01,DA Davidson,Neutral,,main
2013-08-21,Goldman Sachs,Neutral,Sell,up
2013-08-22,Dougherty,Buy,Neutral,up
2013-10-31,Raymond James,Market Perform,Outperform,down
2013-10-31,DA Davidson,Neutral,,main
2013-11-01,Midtown Partners,Neutral,,init
2013-11-07,Bank of America,Neutral,Buy,down
2013-12-11,Citigroup,Neutral,,init
2014-01-13,Oppenheimer,Outperform,,up
2014-02-19,DA Davidson,Neutral,,main
2014-02-20,Wells Fargo,Market Perform,Outperform,down
2014-03-26,Citigroup,Buy,Neutral,up
2014-04-30,DA Davidson,Neutral,,main
2014-06-18,Morgan Stanley,Underweight,,init
2014-07-09,Pacific Crest,Underperform,Sector Perform,down
2014-07-10,Citigroup,Buy,,main
2014-07-29,JP Morgan,Underweight,,main
2014-08-27,Baird,Neutral,,init
2014-10-10,DA Davidson,Neutral,,main
2014-10-13,DA Davidson,Neutral,,main
2014-10-17,Credit Suisse,Neutral,,init
2014-10-27,Goldman Sachs,Buy,Neutral,up
2014-10-30,Credit Suisse,Neutral,,main
2015-01-14,JP Morgan,Underweight,,main
2015-01-14,Pacific Crest,Sector Perform,Underperform,up
2015-01-26,RBC Capital,Outperform,Sector Perform,up
2015-02-19,Bank of America,Buy,Neutral,up
2015-02-19,Citigroup,Buy,,main
2015-02-20,Atlantic Equities,Neutral,Overweight,down
2015-03-12,Raymond James,Underperform,Market Perform,down
2015-03-16,Oppenheimer,Market Perform,Outperform,down
2015-04-02,Goldman Sachs,Neutral,Buy,down
2015-04-06,Citigroup,Buy,,main
2015-04-13,DA Davidson,Neutral,,main
2015-04-30,JP Morgan,Neutral,Underweight,up
2015-07-30,JP Morgan,Underweight,Neutral,down
2015-08-25,Raymond James,Outperform,Market Perform,up
2015-09-11,DA Davidson,Neutral,,main
2015-09-14,DA Davidson,Neutral,,main
2015-09-28,Sterne Agee CRT,Neutral,,init
2015-10-15,Dougherty,Neutral,Buy,down
2015-10-19,JP Morgan,Neutral,Underweight,up
2015-10-29,Citigroup,Neutral,Sell,up
2016-01-15,Credit Suisse,Underperform,Neutral,down
2016-02-18,Credit Suisse,Underperform,,main
2016-02-18,JP Morgan,Underweight,Neutral,down
2016-07-28,Morgan Stanley,Equal-Weight,,main
2016-07-28,JP Morgan,Neutral,Underweight,up
2016-08-04,Bank of America,Underperform,Buy,down
2016-08-17,Longbow Research,Neutral,,init
2016-08-22,Raymond James,Market Perform,Outperform,down
2016-08-24,Morgan Stanley,Equal-Weight,,main
2016-08-24,Goldman Sachs,Sell,Neutral,down
2017-03-06,Goldman Sachs,Neutral,Sell,up
2017-05-02,Tigress Financial,Buy,,init
2017-05-04,JP Morgan,Underweight,Neutral,down
2017-07-19,Longbow Research,Buy,Neutral,up
2017-11-02,Morgan Stanley,Equal-Weight,,main
2018-02-15,Morgan Stanley,Equal-Weight,Equal-Weight,main
2018-02-22,Baird,Neutral,Neutral,main
2018-09-21,Morgan Stanley,Equal-Weight,Equal-Weight,main
2019-01-07,Morgan Stanley,Equal-Weight,Equal-Weight,main
2019-02-21,Longbow Research,Neutral,Buy,down
2019-02-25,Credit Suisse,Underperform,Underperform,main
2019-06-07,JP Morgan,Neutral,Underweight,up
2019-10-31,Morgan Stanley,Equal-Weight,,main
2020-01-28,Credit Suisse,Neutral,Underperform,up
2020-02-20,Morgan Stanley,Equal-Weight,,main
2020-02-20,CFRA,Hold,,main
2020-02-20,Credit Suisse,Neutral,,main
2020-02-20,JP Morgan,Neutral,,main
2020-03-02,JP Morgan,Overweight,Neutral,up
2020-03-25,Morgan Stanley,Above Average,,main
2020-04-29,CFRA,Hold,,main
2020-04-30,Morgan Stanley,Equal-Weight,,main
2020-05-18,B of A Securities,Underperform,,reit
2020-06-08,JP Morgan,Overweight,,main
2020-07-31,Credit Suisse,Neutral,,main
2020-10-29,Morgan Stanley,Equal-Weight,,main
2020-10-30,B of A Securities,Buy,Underperform,up
2020-11-10,Credit Suisse,Neutral,,main
2020-12-08,Deutsche Bank,Hold,,init
2020-12-16,Morgan Stanley,Equal-Weight,,main
2021-02-18,Credit Suisse,Neutral,,main
2021-02-18,Morgan Stanley,Equal-Weight,,main
2021-02-18,Deutsche Bank,Hold,,main
2021-04-29,Credit Suisse,Neutral,,main
2021-04-29,Morgan Stanley,Equal-Weight,,main
2021-06-22,B of A Securities,Neutral,Buy,down
2021-07-29,Morgan Stanley,Equal-Weight,,main
2021-10-28,Morgan Stanley,Equal-Weight,,main
2022-01-05,Deutsche Bank,Buy,Hold,up
2022-02-17,Morgan Stanley,Equal-Weight,,main
2022-03-18,B of A Securities,Buy,Neutral,up
