,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,27044000000.0,12479000000.0,10583000000.0,12481000000.0
Minority Interest,840000000.0,1640000000.0,1713000000.0,1568000000.0
Net Income,21635000000.0,9459000000.0,8466000000.0,10459000000.0
Selling General Administrative,20901000000.0,15976000000.0,15437000000.0,15091000000.0
Gross Profit,52699000000.0,35974000000.0,30801000000.0,31427000000.0
Ebit,0.0,0.0,0.0,0.0
Operating Income,27578000000.0,15899000000.0,11823000000.0,13325000000.0
Other Operating Expenses,2205000000.0,2197000000.0,1837000000.0,1683000000.0
Interest Expense,,,,
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,5409000000.0,3020000000.0,2117000000.0,2022000000.0
Total Revenue,58982000000.0,41462000000.0,35481000000.0,35942000000.0
Total Operating Expenses,31404000000.0,25563000000.0,23658000000.0,22617000000.0
Cost Of Revenue,6283000000.0,5488000000.0,4680000000.0,4515000000.0
Total Other Income Expense Net,-534000000.0,-3420000000.0,-1240000000.0,-844000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,21635000000.0,9459000000.0,8466000000.0,10459000000.0
Net Income Applicable To Common Shares,21116000000.0,8890000000.0,7871000000.0,9841000000.0
