,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,1252000000.0,-3220000000.0,-1122000000.0,1814000000.0
Minority Interest,15000000.0,9000000.0,13000000.0,22000000.0
Net Income,1457000000.0,-2945000000.0,-1131000000.0,1656000000.0
Selling General Administrative,204000000.0,182000000.0,227000000.0,254000000.0
Gross Profit,2016000000.0,1040000000.0,2285000000.0,2986000000.0
Ebit,1741000000.0,577000000.0,1481000000.0,2732000000.0
Operating Income,1741000000.0,577000000.0,1481000000.0,2732000000.0
Other Operating Expenses,71000000.0,281000000.0,577000000.0,577000000.0
Interest Expense,-529000000.0,-543000000.0,-592000000.0,-598000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,-216000000.0,-278000000.0,7000000.0,157000000.0
Total Revenue,15295000000.0,14445000000.0,22408000000.0,23995000000.0
Total Operating Expenses,13554000000.0,13868000000.0,20927000000.0,21263000000.0
Cost Of Revenue,13279000000.0,13405000000.0,20123000000.0,21009000000.0
Total Other Income Expense Net,-489000000.0,-3797000000.0,-2603000000.0,-918000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,1468000000.0,-2942000000.0,-1129000000.0,1657000000.0
Net Income Applicable To Common Shares,1457000000.0,-2945000000.0,-1131000000.0,1656000000.0
