Date,Firm,To Grade,From Grade,Action
2012-03-21,Morgan Stanley,Equal-Weight,,down
2012-03-28,Guggenheim,Neutral,,main
2012-04-19,Bank oferica,Buy,,main
2012-04-19,Pritchard Capital Partners,Buy,,main
2012-04-23,JP Morgan,Overweight,,main
2012-06-05,JP Morgan,Overweight,,main
2012-06-07,JP Morgan,Overweight,,main
2012-06-07,Societe Generale,Buy,,main
2012-06-07,Guggenheim,Neutral,,main
2012-06-07,Barclays,Overweight,,main
2012-07-24,Standpoint Research,Buy,,init
2012-07-24,BMO Capital,Outperform,,main
2012-07-24,Dahlman Rose,Buy,,main
2012-07-24,Barclays,Overweight,,main
2012-07-24,Bank of America,Buy,,main
2012-07-24,Societe Generale,Buy,,main
2012-07-25,Deutsche Bank,Buy,,main
2012-09-05,Barclays,Overweight,,main
2012-09-05,Societe Generale,Buy,,main
2012-09-11,JP Morgan,Overweight,,main
2012-09-26,Dahlman Rose,Buy,,main
2012-10-03,Jefferies,Buy,,main
2012-10-16,Credit Suisse,Outperform,,init
2012-10-17,Deutsche Bank,Buy,,main
2012-10-18,UBS,Buy,,main
2012-10-18,Barclays,Overweight,,main
2012-10-18,Global Hunter Securities,Neutral,Buy,down
2012-10-18,Jefferies,Buy,,main
2012-10-18,Deutsche Bank,Buy,,main
2012-11-15,Societe Generale,Hold,,down
2012-11-19,Macquarie,Outperform,Neutral,up
2012-12-18,Jefferies,Buy,,main
2013-01-08,Standpoint Research,Hold,Buy,down
2013-01-08,JP Morgan,Neutral,Overweight,down
2013-01-17,Deutsche Bank,,,main
2013-01-25,Global Hunter Securities,Buy,Neutral,up
2013-01-28,MLV & Co.,Buy,Hold,up
2013-01-28,Jefferies,Buy,,main
2013-01-28,BMO Capital,Outperform,,main
2013-01-28,JP Morgan,Neutral,,main
2013-01-28,Bank of America,,,main
2013-01-28,Dahlman Rose,Buy,,main
2013-01-28,ISI Group,Strong Buy,,main
2013-01-28,Deutsche Bank,Buy,,main
2013-01-29,Societe Generale,Hold,,main
2013-01-30,Citigroup,Buy,,main
2013-02-19,Stephens & Co.,Overweight,Equal-Weight,up
2013-03-27,UBS,Buy,,main
2013-04-23,Societe Generale,Buy,Hold,up
2013-04-23,Deutsche Bank,Buy,,main
2013-04-23,Jefferies,Buy,,main
2013-04-23,BMO Capital,Outperform,,main
2013-04-24,Societe Generale,Buy,Hold,up
2013-05-30,Morgan Stanley,Underweight,Equal-Weight,down
2013-06-13,Cleveland Research,Buy,,init
2013-07-18,Deutsche Bank,Buy,,main
2013-07-23,Credit Suisse,Outperform,Outperform,main
2013-08-26,Barclays,Overweight,,main
2013-09-09,Wells Fargo,Market Perform,Outperform,down
2013-09-12,Macquarie,Neutral,Outperform,down
2013-10-09,Raymond James,Outperform,Market Perform,up
2013-10-17,Societe Generale,Buy,,main
2013-10-22,Deutsche Bank,Buy,,main
2013-10-22,Bernstein,Outperform,,main
2013-10-22,iBERIA Capital Partners,Outperform,,init
2013-10-22,Jefferies,Buy,,main
2013-11-07,Cowen & Co.,Outperform,,main
2013-11-07,Jefferies,Buy,,main
2013-11-18,Global Hunter Securities,Neutral,Buy,down
2013-12-12,Baird,Neutral,,init
2014-01-06,Guggenheim,Neutral,Buy,down
2014-01-06,Wells Fargo,Outperform,Market Perform,up
2014-01-30,Griffin Securities,Buy,,init
2014-02-19,Wells Fargo,Market Perform,Outperform,down
2014-03-28,Deutsche Bank,Buy,,main
2014-04-22,BMO Capital,Outperform,,main
2014-04-22,Susquehanna,Positive,,main
2014-04-22,Jefferies,Buy,,main
2014-04-22,Citigroup,Buy,,main
2014-05-06,FBR Capital,Market Perform,,main
2014-06-04,Macquarie,Outperform,,init
2014-06-12,JP Morgan,Overweight,,main
2014-06-12,Societe Generale,Hold,Buy,down
2014-06-20,Drexel Hamilton,Buy,,init
2014-06-23,Credit Suisse,Outperform,,main
2014-07-22,JP Morgan,Overweight,,main
2014-07-22,Jefferies,Buy,,main
2014-07-22,Deutsche Bank,Buy,,main
2014-07-23,Macquarie,Outperform,,main
2014-10-03,Morgan Stanley,Equal-Weight,Underweight,up
2014-10-10,Societe Generale,Buy,Hold,up
2014-10-13,Bank of America,Buy,,main
2014-10-14,FBR Capital,Market Perform,,main
2014-10-15,Morgan Stanley,Overweight,Equal-weight,up
2014-10-15,Citigroup,Neutral,,init
2014-10-16,ISI Group,Buy,,init
2014-10-21,Credit Suisse,Outperform,,main
2014-10-21,Jefferies,Buy,,main
2014-10-24,Citigroup,Buy,,main
2014-11-10,Credit Suisse,Outperform,,main
2014-11-17,Cowen & Co.,Market Perform,Outperform,down
2014-11-19,Jefferies,Buy,,main
2014-12-03,Oppenheimer,Outperform,,init
2014-12-09,Macquarie,Neutral,Outperform,down
2014-12-18,Jefferies,Buy,,main
2014-12-19,Citigroup,Buy,,main
2014-12-23,Seaport Global,Neutral,Buy,down
2015-01-15,Deutsche Bank,Buy,,main
2015-01-21,Jefferies,Buy,,main
2015-01-27,Citigroup,Buy,,main
2015-02-18,BMO Capital,Outperform,,init
2015-03-12,Oppenheimer,Outperform,,main
2015-03-25,HSBC,Hold,,init
2015-03-31,Citigroup,Buy,,main
2015-04-20,CLSA,Underperform,Outperform,down
2015-04-21,Oppenheimer,Overweight,,main
2015-04-22,Citigroup,Buy,,main
2015-04-27,Jefferies,Buy,,main
2015-05-29,JP Morgan,Overweight,,init
2015-07-08,Citigroup,Buy,,main
2015-07-10,Oppenheimer,Outperform,,main
2015-07-21,Susquehanna,Positive,,main
2015-07-21,Macquarie,Neutral,,main
2015-08-24,Susquehanna,Positive,,main
2015-09-03,HSBC,Buy,Hold,up
2015-09-09,Macquarie,Neutral,,main
2015-09-21,FBR Capital,Market Perform,,main
2015-09-21,Morgan Stanley,Overweight,,main
2015-10-01,Oppenheimer,Outperform,,main
2015-10-05,Citigroup,Buy,,main
2015-10-20,Macquarie,Neutral,,main
2015-10-20,BMO Capital,Outperform,,main
2015-10-21,Citigroup,Buy,,main
2016-01-05,GMP Securities,Buy,,init
2016-01-05,KeyBanc,Overweight,Sector Weight,up
2016-01-13,Seaport Global,Buy,Accumulate,up
2016-01-19,Deutsche Bank,Buy,,main
2016-01-26,Baird,Neutral,,main
2016-01-26,Cowen & Co.,Market Perform,,main
2016-01-26,UBS,Buy,,main
2016-01-26,Susquehanna,Positive,,main
2016-01-26,HSBC,Hold,Buy,down
2016-01-28,KLR Group,Buy,Accumulate,up
2016-02-16,Argus,Hold,,main
2016-02-19,DA Davidson,Buy,,init
2016-03-28,Barclays,Overweight,,main
2016-04-01,Susquehanna,Positive,,main
2016-04-06,Deutsche Bank,Buy,,main
2016-04-07,Nomura,Buy,,init
2016-04-08,Jefferies,Buy,,main
2016-04-19,Morgan Stanley,Overweight,,main
2016-04-25,Citigroup,Buy,,main
2016-05-04,iBERIA Capital Partners,Outperform,,main
2016-05-16,Citigroup,Buy,,main
2016-05-17,FBR Capital,Outperform,Market Perform,up
2016-05-19,Argus,Buy,,main
2016-05-19,Griffin Securities,Buy,,up
2016-07-11,Jefferies,Buy,,main
2016-07-13,Citigroup,Buy,,main
2016-07-19,Societe Generale,Hold,Buy,down
2016-07-21,Deutsche Bank,Buy,,main
2016-07-21,Nomura,Buy,,main
2016-07-21,FBR Capital,Outperform,,main
2016-08-08,Atlantic Equities,Underweight,,init
2016-09-30,Loop Capital,Buy,,init
