,2021-12-26,2020-12-27,2019-12-29,2018-12-30
Research Development,315700000.0,259500000.0,262200000.0,246165000.0
Effect Of Accounting Charges,,,,
Income Before Tax,581900000.0,322100000.0,594300000.0,270402000.0
Minority Interest,61100000.0,64400000.0,64400000.0,64400000.0
Net Income,428700000.0,222500000.0,520500000.0,220434000.0
Selling General Administrative,1933300000.0,1657500000.0,1441400000.0,1476226000.0
Gross Profit,3243900000.0,2789400000.0,2412300000.0,2333402000.0
Ebit,878100000.0,727700000.0,661400000.0,582308000.0
Operating Income,878100000.0,727700000.0,661400000.0,582308000.0
Other Operating Expenses,,,,
Interest Expense,-179700000.0,-202100000.0,-121500000.0,-90826000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,146600000.0,96700000.0,73800000.0,49968000.0
Total Revenue,6420400000.0,5465400000.0,4720200000.0,4579646000.0
Total Operating Expenses,5542300000.0,4737700000.0,4058800000.0,3997338000.0
Cost Of Revenue,3176500000.0,2676000000.0,2307900000.0,2246244000.0
Total Other Income Expense Net,-296200000.0,-405600000.0,-67100000.0,-311906000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,435300000.0,225400000.0,520500000.0,220434000.0
Net Income Applicable To Common Shares,428700000.0,222500000.0,520500000.0,220434000.0
