Date,Firm,To Grade,From Grade,Action
2012-02-15,Sterne Agee,Neutral,,down
2012-04-24,Citigroup,Neutral,,main
2012-05-18,SunTrust Robinson Humphrey,Neutral,,init
2012-06-27,Citigroup,Sell,Neutral,down
2012-07-24,Citigroup,Sell,,main
2012-09-17,Stifel Nicolaus,Hold,Buy,down
2012-10-15,Goldman Sachs,Sell,Neutral,down
2012-10-19,Goldman Sachs,Sell,Neutral,down
2013-02-19,BMO Capital,Underperform,,main
2013-03-13,KeyBanc,Hold,Buy,down
2013-05-20,PiperJaffray,Overweight,,init
2013-07-23,Needham,Buy,Hold,up
2013-08-26,Citigroup,Buy,Sell,up
2013-10-22,Monness Crespi Hardt,Buy,Neutral,up
2013-10-25,BMO Capital,Market Perform,Underperform,up
2014-02-11,Citigroup,Buy,,main
2014-04-04,Needham,Hold,Buy,down
2014-04-22,Barclays,Equal-Weight,,main
2014-04-24,Citigroup,Buy,,main
2014-07-22,Barclays,Overweight,Equal-Weight,up
2014-07-29,Citigroup,Buy,,main
2014-10-21,Barclays,Overweight,,main
2014-10-30,Citigroup,Buy,,main
2015-02-10,BMO Capital,Outperform,Market Perform,up
2015-02-20,Barclays,Equal-Weight,Overweight,down
2015-02-27,Citigroup,Buy,,main
2015-04-21,SunTrust Robinson Humphrey,Neutral,,main
2015-04-27,Citigroup,Buy,,main
2015-07-21,BMO Capital,Market Perform,Outperform,down
2015-07-21,PiperJaffray,Neutral,Overweight,down
2015-07-21,Wells Fargo,Market Perform,Outperform,down
2015-08-03,Citigroup,Buy,,main
2015-08-20,Oppenheimer,Perform,,init
2015-09-24,SunTrust Robinson Humphrey,Neutral,,main
2015-09-30,BMO Capital,Market Perform,,main
2015-12-04,Jefferies,Hold,,init
2016-02-09,Barclays,Equal-Weight,,main
2016-03-24,UBS,Neutral,,init
2016-04-07,JP Morgan,Neutral,,init
2016-04-12,Jefferies,Hold,,main
2016-04-19,Barclays,Equal-Weight,,main
2016-04-19,JP Morgan,Neutral,,main
2016-05-10,PiperJaffray,Neutral,Overweight,down
2016-06-06,Citigroup,Buy,,main
2016-07-19,Barclays,Equal-Weight,,main
2016-07-19,PiperJaffray,Overweight,Neutral,up
2016-11-28,PiperJaffray,Neutral,Overweight,down
2017-01-26,Monness Crespi Hardt,Neutral,Buy,down
2017-02-13,Goldman Sachs,Buy,,init
2017-04-03,B. Riley FBR,Neutral,,init
2017-05-23,DA Davidson,Buy,,init
2017-06-08,Jefferies,Buy,,init
2017-06-16,Argus,Buy,,init
2017-07-13,Stifel Nicolaus,Hold,,main
2017-10-16,Stifel Nicolaus,Hold,,main
2017-10-24,Wells Fargo,Market Perform,,main
2017-10-24,BMO Capital,Market Perform,,main
2017-10-24,Barclays,Overweight,Equal-Weight,up
2017-12-21,B. Riley FBR,Buy,,init
2018-01-30,Stifel Nicolaus,Hold,Hold,main
2018-02-08,BMO Capital,Market Perform,Market Perform,main
2018-02-08,B. Riley FBR,Buy,Buy,main
2018-02-08,KeyBanc,Overweight,Overweight,main
2018-02-28,Morgan Stanley,Equal-Weight,Equal-Weight,main
2018-03-08,BMO Capital,Market Perform,Market Perform,main
2018-03-20,BMO Capital,Market Perform,Market Perform,main
2018-03-29,UBS,Neutral,Neutral,main
2018-04-04,Stifel Nicolaus,Hold,Hold,main
2018-04-24,B. Riley FBR,Buy,Buy,main
2018-04-24,BMO Capital,Market Perform,Market Perform,main
2018-04-24,KeyBanc,Overweight,Overweight,main
2018-04-25,Argus,Buy,Buy,main
2018-07-10,Stifel Nicolaus,Hold,Hold,main
2018-07-16,BMO Capital,Underperform,Market Perform,down
2018-07-24,Monness Crespi Hardt,Neutral,Buy,down
2018-07-24,B. Riley FBR,Buy,Buy,main
2018-07-24,Stifel Nicolaus,Hold,Hold,main
2018-07-24,Barclays,Overweight,Overweight,main
2018-07-24,KeyBanc,Overweight,Overweight,main
2018-07-25,BMO Capital,Underperform,Underperform,main
2018-08-08,Citigroup,Buy,Buy,main
2018-08-15,MKM Partners,Buy,Neutral,up
2018-10-05,Stifel Nicolaus,Hold,Hold,main
2018-10-15,KeyBanc,Overweight,Overweight,main
2018-10-23,Barclays,Overweight,Overweight,main
2018-10-30,Argus,Buy,Buy,main
2018-10-30,Citigroup,Buy,Buy,main
2019-02-13,Wells Fargo,Market Perform,Market Perform,main
2019-02-26,BMO Capital,Underperform,Underperform,main
2019-03-04,BMO Capital,Market Perform,Underperform,up
2019-03-11,Citigroup,Buy,Buy,main
2019-03-21,Wells Fargo,Market Perform,Market Perform,main
2019-04-24,Barclays,Overweight,Overweight,main
2019-04-24,Stifel Nicolaus,Hold,Hold,main
2019-04-24,MKM Partners,Buy,,main
2019-04-25,Argus,Hold,Buy,down
2019-05-01,BMO Capital,Market Perform,Market Perform,main
2019-05-08,Citigroup,Buy,,main
2019-07-15,Stifel Nicolaus,Hold,,main
2019-07-24,MKM Partners,Buy,,main
2019-07-24,DA Davidson,Buy,,main
2019-07-24,BMO Capital,Market Perform,,main
2019-07-24,Barclays,Overweight,,main
2019-07-26,Argus Research,Buy,Hold,up
2019-07-29,KeyBanc,Overweight,,main
2019-08-01,Wells Fargo,Market Perform,,main
2019-10-01,Stifel Nicolaus,Hold,,main
2019-10-08,UBS,Neutral,,main
2019-10-23,SunTrust Robinson Humphrey,Hold,,main
2019-10-23,BMO Capital,Market Perform,,main
2019-10-28,KeyBanc,Overweight,,main
2019-11-25,UBS,Buy,Neutral,up
2020-01-14,MKM Partners,Buy,,main
2020-01-15,Wells Fargo,Equal-Weight,,main
2020-01-27,JP Morgan,Neutral,,init
2020-01-29,B of A Securities,Neutral,,init
2020-02-27,SunTrust Robinson Humphrey,Hold,,main
2020-02-27,JP Morgan,Neutral,,main
2020-03-03,BMO Capital,Market Perform,,main
2020-04-03,Stifel,Hold,,main
2020-04-07,MKM Partners,Buy,,main
2020-04-09,JP Morgan,Neutral,,main
2020-04-17,Wells Fargo,Equal-Weight,,main
2020-04-30,SunTrust Robinson Humphrey,Hold,,main
2020-04-30,Wells Fargo,Equal-Weight,,main
2020-04-30,DA Davidson,Buy,,main
2020-05-04,Barclays,Overweight,,main
2020-05-26,UBS,Buy,,main
2020-06-09,Consumer Edge Research,Equal-Weight,Overweight,down
2020-07-28,DA Davidson,Buy,,main
2020-09-23,BMO Capital,Outperform,Market Perform,up
2020-09-30,Stifel,Buy,Hold,up
2020-10-27,KeyBanc,Overweight,,main
2020-10-27,DA Davidson,Buy,,main
2020-11-23,KeyBanc,Overweight,,main
2020-12-02,BMO Capital,Market Perform,Outperform,down
2020-12-09,Citigroup,Buy,,init
2021-02-09,BMO Capital,Market Perform,,main
2021-02-09,DA Davidson,Buy,,main
2021-03-15,Truist Securities,Hold,,main
2021-04-28,Jefferies,Buy,,main
2021-04-28,DA Davidson,Buy,,main
2021-04-29,Keybanc,Overweight,,main
2021-07-27,Keybanc,Overweight,,main
2021-07-27,BMO Capital,Market Perform,,main
2021-10-04,Stifel,Buy,,main
2021-10-27,DA Davidson,Buy,,main
2022-01-27,DA Davidson,Buy,,main
2022-02-08,DA Davidson,Buy,,main
2022-04-20,DA Davidson,Buy,,main
2022-04-20,Keybanc,Overweight,,main
