,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,9833000000.0,5430000000.0,5244000000.0,5335000000.0
Minority Interest,2422000000.0,2320000000.0,2243000000.0,2032000000.0
Net Income,6956000000.0,3754000000.0,3505000000.0,3787000000.0
Selling General Administrative,989000000.0,923000000.0,855000000.0,855000000.0
Gross Profit,22492000000.0,19290000000.0,19295000000.0,17528000000.0
Ebit,9678000000.0,7262000000.0,7218000000.0,6642000000.0
Operating Income,9678000000.0,7262000000.0,7218000000.0,6642000000.0
Other Operating Expenses,8972000000.0,8384000000.0,8626000000.0,8608000000.0
Interest Expense,-1566000000.0,-1584000000.0,-1824000000.0,-1755000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,2112000000.0,1043000000.0,1099000000.0,946000000.0
Total Revenue,58752000000.0,51533000000.0,51336000000.0,46677000000.0
Total Operating Expenses,49074000000.0,44271000000.0,44118000000.0,40035000000.0
Cost Of Revenue,36260000000.0,32243000000.0,32041000000.0,29149000000.0
Total Other Income Expense Net,155000000.0,-1832000000.0,-1974000000.0,-1307000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,7721000000.0,4387000000.0,4145000000.0,4389000000.0
Net Income Applicable To Common Shares,6956000000.0,3754000000.0,3505000000.0,3787000000.0
