Date,Firm,To Grade,From Grade,Action
2012-02-23,Deutsche Bank,Buy,,up
2012-03-23,Cantor Fitzgerald,Buy,,init
2012-05-04,Deutsche Bank,Buy,,main
2012-08-06,Cantor Fitzgerald,Buy,,main
2012-08-07,Jefferies,Buy,,main
2012-08-20,Imperial Capital,Outperform,,init
2012-08-28,Cantor Fitzgerald,Buy,,main
2012-10-11,Barclays,Overweight,,init
2012-11-07,Goldman Sachs,Buy,Neutral,up
2012-12-18,JP Morgan,Overweight,,init
2013-01-17,Imperial Capital,Outperform,,main
2013-01-25,UBS,Buy,,main
2013-01-30,Deutsche Bank,Buy,,main
2013-02-04,Jefferies,Buy,,main
2013-02-06,BMO Capital,Market Perform,,main
2013-02-06,Credit Suisse,Outperform,,main
2013-02-11,Morgan Stanley,Overweight,,init
2013-03-12,Macquarie,Neutral,Outperform,down
2013-03-22,Oppenheimer,Outperform,,main
2013-03-25,JP Morgan,Overweight,,main
2013-05-03,Credit Suisse,Outperform,,main
2013-05-13,BMO Capital,Market Perform,,main
2013-07-11,KeyBanc,Hold,,init
2013-09-18,Mizuho,Buy,Neutral,up
2013-10-07,Deutsche Bank,Buy,,main
2013-11-13,BMO Capital,Market Perform,,main
2014-01-15,Raymond James,Outperform,,main
2014-03-31,Monness Crespi Hardt,Buy,,init
2014-06-03,JP Morgan,Overweight,,main
2014-07-17,Raymond James,Outperform,,main
2014-07-17,Deutsche Bank,Buy,,main
2014-07-30,UBS,Buy,,main
2014-07-30,Credit Suisse,Outperform,,main
2014-07-30,Barclays,Overweight,,main
2014-07-30,Citigroup,Buy,,main
2014-09-09,Deutsche Bank,Buy,,main
2014-10-02,JP Morgan,Overweight,,main
2014-10-28,Barclays,Overweight,,main
2014-10-29,Credit Suisse,Outperform,,main
2014-10-29,Citigroup,Buy,,main
2014-10-29,Barclays,Overweight,,main
2014-11-12,Wells Fargo,Market Perform,Outperform,down
2014-12-18,Sterne Agee,Buy,,init
2015-01-05,Deutsche Bank,Buy,,main
2015-01-08,Barclays,Overweight,,main
2015-01-08,Credit Suisse,Outperform,,main
2015-04-16,Deutsche Bank,Buy,,main
2015-05-06,RBC Capital,Outperform,,main
2015-05-06,Credit Suisse,Outperform,,main
2015-06-10,Wedbush,Outperform,,init
