,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,2896000000.0,2120000000.0,2560000000.0,1753000000.0
Minority Interest,,,,
Net Income,2365000000.0,1737000000.0,2085000000.0,1807000000.0
Selling General Administrative,4721000000.0,4441000000.0,4472000000.0,4234000000.0
Gross Profit,7940000000.0,6983000000.0,7642000000.0,6376000000.0
Ebit,3122000000.0,2439000000.0,3013000000.0,2074000000.0
Operating Income,3122000000.0,2439000000.0,3013000000.0,2074000000.0
Other Operating Expenses,26000000.0,31000000.0,91000000.0,91000000.0
Interest Expense,-193000000.0,-207000000.0,-255000000.0,-268000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,531000000.0,383000000.0,475000000.0,268000000.0
Total Revenue,22349000000.0,20494000000.0,20736000000.0,18925000000.0
Total Operating Expenses,19227000000.0,18055000000.0,17723000000.0,16851000000.0
Cost Of Revenue,14409000000.0,13511000000.0,13094000000.0,12549000000.0
Total Other Income Expense Net,-226000000.0,-319000000.0,-453000000.0,-321000000.0
Discontinued Operations,,,,322000000.0
Net Income From Continuing Ops,2365000000.0,1737000000.0,2085000000.0,1485000000.0
Net Income Applicable To Common Shares,2344000000.0,1716000000.0,2064000000.0,1801000000.0
