,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,622000000.0,810000000.0,683000000.0,971000000.0
Minority Interest,,,,
Net Income,544000000.0,696000000.0,549000000.0,836000000.0
Selling General Administrative,701000000.0,785000000.0,776000000.0,797000000.0
Gross Profit,1368000000.0,1670000000.0,1531000000.0,1791000000.0
Ebit,668000000.0,886000000.0,755000000.0,1008000000.0
Operating Income,668000000.0,886000000.0,755000000.0,1008000000.0
Other Operating Expenses,-1000000.0,-1000000.0,-1000000.0,-14000000.0
Interest Expense,-89000000.0,-114000000.0,-70000000.0,-58000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,78000000.0,114000000.0,134000000.0,135000000.0
Total Revenue,9524000000.0,9361000000.0,8899000000.0,8176000000.0
Total Operating Expenses,8856000000.0,8475000000.0,8144000000.0,7168000000.0
Cost Of Revenue,8156000000.0,7691000000.0,7368000000.0,6385000000.0
Total Other Income Expense Net,-46000000.0,-76000000.0,-72000000.0,-37000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,544000000.0,696000000.0,549000000.0,836000000.0
Net Income Applicable To Common Shares,544000000.0,696000000.0,549000000.0,836000000.0
