Date,Firm,To Grade,From Grade,Action
2012-03-29,Deutsche Bank,Hold,,main
2012-03-29,Miller Tabak,Buy,,main
2012-03-30,Goldman Sachs,Sell,,main
2012-04-11,Deutsche Bank,Hold,,main
2012-06-20,Goldman Sachs,Neutral,Sell,up
2012-07-17,Citigroup,Buy,,main
2012-07-17,Drexel Hamilton,Hold,,init
2012-08-09,Miller Tabak,Buy,,main
2012-08-09,Barclays,Equal-Weight,,main
2012-08-09,Deutsche Bank,Hold,,main
2012-08-09,Drexel Hamilton,Buy,Hold,up
2012-08-14,JP Morgan,Neutral,,init
2012-08-24,Bank of America,Underperform,,main
2012-09-13,UBS,Neutral,,main
2012-10-08,Deutsche Bank,Hold,,main
2012-10-16,Citigroup,Buy,,main
2013-01-09,Citigroup,Buy,,main
2013-02-28,Deutsche Bank,Hold,,main
2013-03-19,CRT Capital,Fair Value,Buy,down
2013-03-21,UBS,Neutral,,main
2013-04-02,Deutsche Bank,Hold,,main
2013-06-18,Stifel Nicolaus,Hold,,init
2013-07-10,Deutsche Bank,Hold,,main
2013-12-17,Deutsche Bank,Buy,Hold,up
2014-01-07,Bank of America,Buy,Underperform,up
2014-03-03,Deutsche Bank,Buy,,main
2014-03-05,Morgan Stanley,Equal-Weight,,init
2014-03-17,Barclays,Underweight,,down
2014-04-07,Deutsche Bank,Buy,,main
2014-04-09,Citigroup,Buy,,main
2014-05-09,Credit Suisse,Neutral,,main
2014-05-09,JP Morgan,Neutral,,main
2014-05-15,Bank of America,Neutral,Buy,down
2014-08-08,Credit Suisse,Neutral,,main
2014-08-08,JP Morgan,Neutral,,main
2014-08-11,Barclays,Underweight,,main
2014-08-11,UBS,Buy,Neutral,up
2014-11-10,Barclays,Underweight,,main
2014-12-19,Citigroup,Buy,,main
2015-01-05,Deutsche Bank,Buy,,main
2015-01-06,Bank of America,Buy,Neutral,up
2015-02-24,Credit Suisse,Underperform,Neutral,down
2015-02-26,Barclays,Underweight,,main
2015-03-19,Deutsche Bank,Buy,,main
2015-04-15,Citigroup,Buy,,main
2015-05-08,Citigroup,Buy,,main
2015-05-08,Deutsche Bank,Buy,,main
2015-05-08,Barclays,Underweight,,main
2015-05-08,Bernstein,Market Perform,Outperform,down
2015-05-19,Bank of America,Neutral,Buy,down
2015-08-07,Credit Suisse,Underperform,,main
2015-10-01,Cowen & Co.,Market Perform,,init
2015-11-06,Deutsche Bank,Buy,,main
2015-11-06,Wells Fargo,Outperform,Market Perform,up
2015-11-09,Barclays,Underweight,,main
2016-01-08,Cowen & Co.,Outperform,Market Perform,up
2016-01-15,Credit Suisse,Neutral,Underperform,up
2016-01-20,Guggenheim,Buy,,init
2016-05-24,Stifel Nicolaus,Sell,Hold,down
2016-07-11,Deutsche Bank,Buy,,main
2016-09-06,Citigroup,Buy,,main
2016-09-07,Citigroup,Buy,,main
2016-09-20,Cowen & Co.,Market Perform,Outperform,down
2016-12-05,Deutsche Bank,Buy,,main
2017-01-12,Bank of America,Buy,Neutral,up
2017-03-01,Citigroup,Neutral,Buy,down
2017-10-09,Citigroup,Neutral,,main
2017-11-09,Credit Suisse,Neutral,,main
2018-02-02,Cowen & Co.,Outperform,Market Perform,up
2018-02-16,Credit Suisse,Outperform,Neutral,up
2018-03-29,Barclays,Overweight,,init
2018-05-04,Credit Suisse,Outperform,Outperform,main
2018-05-04,Wells Fargo,Outperform,Market Perform,down
2018-05-04,Stifel Nicolaus,Sell,Sell,main
2018-05-09,Citigroup,Buy,Neutral,up
2018-06-26,Vertical Research,Buy,,init
2018-08-16,UBS,Buy,,init
2018-08-23,Seaport Global,Neutral,,init
2018-09-12,Buckingham,Buy,,init
2018-10-11,Goldman Sachs,Sell,Neutral,down
2018-12-04,Barclays,Overweight,Overweight,main
2019-01-14,Citigroup,Buy,Buy,main
2019-01-23,Barclays,Underweight,Overweight,down
2019-08-06,Bank of America,Buy,,reit
2019-08-08,Buckingham Research,Buy,,main
2019-11-08,UBS,Buy,,main
2020-01-15,UBS,Buy,,main
2020-01-22,Cowen & Co.,Market Perform,Outperform,down
2020-01-30,Credit Suisse,Outperform,,main
2020-02-14,UBS,Buy,,main
2020-02-18,Alembic Global,Neutral,Overweight,down
2020-02-19,UBS,Buy,,main
2020-02-27,Buckingham Research,Neutral,Buy,down
2020-04-28,Credit Suisse,Neutral,Outperform,down
2020-05-19,Seaport Global,Neutral,,init
2020-05-21,RBC Capital,Outperform,,init
2020-05-22,Stifel,Hold,Sell,up
2020-06-11,UBS,Buy,,main
2020-10-01,Barclays,Equal-Weight,,main
2020-10-02,JP Morgan,Neutral,,main
2020-11-09,Bernstein,Market Perform,,main
2021-01-06,Vertical Research,Hold,Buy,down
2021-11-08,Barclays,Equal-Weight,,main
2021-11-11,B of A Securities,Neutral,Buy,down
2021-12-15,Wolfe Research,Outperform,,init
2022-02-14,JP Morgan,Neutral,,main
2022-04-14,Cowen & Co.,Outperform,Market Perform,up
