Date,Firm,To Grade,From Grade,Action
2013-12-12,SunTrust Robinson Humphrey,Neutral,,init
2014-01-21,Credit Suisse,Outperform,,init
2014-01-21,Morgan Stanley,Equal-weight,,init
2014-01-21,Barclays,Overweight,,init
2014-01-21,Deutsche Bank,Buy,,init
2014-01-21,Goldman Sachs,Neutral,,init
2014-01-21,UBS,Neutral,,init
2014-01-21,Baird,Neutral,,init
2014-01-21,Nomura,Buy,,init
2014-01-21,ISI Group,Neutral,,init
2014-01-21,JP Morgan,Overweight,,init
2014-01-21,Raymond James,Outperform,,init
2014-01-21,Wells Fargo,Market Perform,,init
2014-02-24,Macquarie,Neutral,,init
2014-03-04,Goldman Sachs,Buy,Neutral,up
2014-05-07,Morgan Stanley,Overweight,Equal-weight,up
2014-05-12,Barclays,Overweight,,main
2014-05-12,UBS,Buy,Neutral,up
2014-05-23,Craig-Hallum,Buy,Hold,up
2014-07-09,Deutsche Bank,Buy,,main
2014-07-15,JP Morgan,Overweight,,main
2014-08-04,SunTrust Robinson Humphrey,Neutral,,main
2014-08-04,Barclays,Overweight,,main
2014-08-07,Citigroup,Buy,,main
2014-10-09,JMP Securities,Market Outperform,,init
2014-11-14,Barclays,Overweight,,main
2014-11-21,Credit Suisse,Outperform,,main
2014-11-21,Credit Suisse,Outperform,,main
2014-12-18,Evercore ISI Group,Buy,,init
2015-01-13,Wells Fargo,Outperform,Market Perform,up
2015-02-04,Baird,Outperform,Neutral,up
2015-02-11,JP Morgan,Overweight,,main
2015-02-19,Deutsche Bank,Buy,,main
2015-03-03,RBC Capital,Outperform,,init
2015-03-16,Citigroup,Buy,,main
2015-04-13,Evercore ISI Group,Hold,Buy,down
2015-04-30,Barclays,Overweight,,main
2015-05-06,Citigroup,Buy,,main
2015-06-10,Brean Capital,Buy,,init
2015-08-05,Goldman Sachs,Neutral,Buy,down
2015-08-05,Evercore ISI Group,Buy,Hold,up
2015-09-07,Evercore ISI Group,Buy,,main
2015-12-03,Macquarie,Outperform,Neutral,up
2015-12-08,Berenberg,Hold,,init
2016-01-04,Telsey Advisory Group,Outperform,,init
2016-01-11,Deutsche Bank,Buy,,main
2016-01-14,MKM Partners,Sell,Buy,down
2016-02-29,Barclays,Overweight,,main
2016-03-01,FBR Capital,Outperform,,main
2016-04-12,CLSA,Buy,,init
2016-05-13,Citigroup,Buy,,main
2016-05-19,Bank of America,Neutral,Buy,down
2016-07-06,Wolfe Research,Outperform,,init
2016-07-28,Morgan Stanley,Overweight,,main
2016-07-28,JMP Securities,Market Outperform,,main
2016-07-28,Deutsche Bank,Buy,,main
2016-08-05,Citigroup,Buy,,main
2016-09-09,Bernstein,Market Perform,,init
2016-11-28,Evercore ISI Group,Hold,Buy,down
2016-12-05,MKM Partners,Buy,Sell,up
2016-12-15,Bank of America,Buy,Neutral,up
2017-01-05,Goldman Sachs,Buy,,init
2017-01-19,Bernstein,Outperform,Market Perform,up
2017-04-03,Telsey Advisory Group,Market Perform,Outperform,down
2017-04-26,Guggenheim,Neutral,,init
2017-04-27,Tigress Financial,Neutral,,init
2017-06-05,Argus,Buy,,init
2017-07-27,Barclays,Equal-Weight,,main
2017-07-31,Berenberg,Hold,Sell,up
2017-08-24,Raymond James,Outperform,,main
2017-10-27,FBR Capital,Neutral,Outperform,down
2017-10-27,Barclays,Equal-Weight,,main
2017-11-06,Wells Fargo,Market Perform,Outperform,down
2017-11-13,Morgan Stanley,Overweight,,main
2017-11-14,Goldman Sachs,Buy,Conviction Buy,down
2018-01-08,Raymond James,Strong Buy,Outperform,up
2018-01-17,Morgan Stanley,Equal-Weight,Overweight,down
2018-02-15,JP Morgan,Overweight,Overweight,main
2018-04-27,B. Riley FBR,Neutral,Neutral,main
2018-05-01,Morgan Stanley,Equal-Weight,Equal-Weight,main
2018-05-17,Evercore ISI Group,In-Line,Underperform,up
2018-05-31,Jefferies,Hold,,init
2018-07-19,Berenberg,Buy,Hold,up
2018-08-17,Bernstein,Market Perform,Outperform,down
2018-09-07,Longbow Research,Buy,,init
2018-10-23,Cowen & Co.,Outperform,,init
2018-10-25,Baird,Outperform,Outperform,main
2018-10-25,Raymond James,Strong Buy,Strong Buy,main
2018-10-25,B. Riley FBR,Buy,Neutral,up
2018-10-25,Wells Fargo,Outperform,Market Perform,up
2018-10-26,Evercore ISI Group,Outperform,In-Line,up
2018-11-05,Argus,Hold,Buy,down
2019-02-14,Wells Fargo,Outperform,Outperform,main
