,2021-09-25,2020-09-26,2019-09-28,2018-09-29
Research Development,276300000.0,222500000.0,232200000.0,218700000.0
Effect Of Accounting Charges,,,,
Income Before Tax,2361100000.0,1001900000.0,-257700000.0,-418600000.0
Minority Interest,,2100000.0,2100000.0,2100000.0
Net Income,1871500000.0,1115200000.0,-203600000.0,-111300000.0
Selling General Administrative,971700000.0,840300000.0,897200000.0,914700000.0
Gross Profit,4074800000.0,2513300000.0,2068100000.0,2016100000.0
Ebit,2485200000.0,1157600000.0,568200000.0,508000000.0
Operating Income,2485200000.0,1157600000.0,568200000.0,508000000.0
Other Operating Expenses,22700000.0,22700000.0,22700000.0,-4000000.0
Interest Expense,-93600000.0,-116500000.0,-140800000.0,-148700000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,491400000.0,-108600000.0,-54100000.0,-307300000.0
Total Revenue,5632300000.0,3776400000.0,3367300000.0,3217900000.0
Total Operating Expenses,3147100000.0,2618800000.0,2799100000.0,2709900000.0
Cost Of Revenue,1557500000.0,1263100000.0,1299200000.0,1201800000.0
Total Other Income Expense Net,-124100000.0,-155700000.0,-825900000.0,-926600000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,1869700000.0,1110500000.0,-203600000.0,-111300000.0
Net Income Applicable To Common Shares,1871500000.0,1115200000.0,-203600000.0,-111300000.0
