Date,Firm,To Grade,From Grade,Action
2012-02-21,UBS,Neutral,,main
2012-03-14,Oxen Group,Hold,,init
2012-03-15,Jefferies,Buy,,main
2012-05-24,Sterne Agee,Buy,,main
2012-05-24,FBN Securities,Sector Perform,,main
2012-05-24,Bank oferica,Buy,,main
2012-06-01,Jefferies,Hold,,down
2012-06-11,Barclays,Equal-Weight,,main
2012-06-26,Jefferies,Hold,,main
2012-07-12,Barclays,Equal-Weight,,main
2012-07-16,Raymond James,Outperform,,main
2012-08-07,UBS,Sell,,init
2012-08-23,Credit Suisse,Neutral,,main
2012-08-23,Deutsche Bank,Sell,,main
2012-08-23,Jefferies,Hold,,main
2012-08-23,Goldman Sachs,Neutral,,main
2012-08-23,Bank of America,Buy,,main
2012-08-23,FBN Securities,Sector Perform,,main
2012-08-23,Barclays,Equal-Weight,,main
2012-09-27,Jefferies,Underperform,Hold,down
2012-09-28,Goldman Sachs,Neutral,,main
2012-10-04,Deutsche Bank,Sell,,main
2012-10-04,Credit Suisse,Neutral,,main
2012-10-04,ISI Group,Buy,,main
2012-10-04,Sterne Agee,Buy,,main
2012-10-04,Jefferies,Underperform,,main
2012-10-04,JP Morgan,Underweight,,main
2012-10-04,FBN Securities,Sector Perform,,main
2012-10-04,BMO Capital,Market Perform,,main
2012-10-04,Bank of America,Neutral,Buy,down
2012-10-04,Goldman Sachs,Neutral,,main
2012-10-04,Barclays,Equal-Weight,,main
2012-10-05,Sterne Agee,Neutral,Buy,down
2012-10-05,Argus,Hold,Buy,down
2012-10-08,Citigroup,Sell,,init
2012-11-12,Barclays,Equal-Weight,,main
2012-11-14,UBS,Sell,,main
2012-11-20,Mizuho,Underperform,Neutral,down
2012-11-20,FBN Securities,Sector Perform,,main
2012-11-20,Raymond James,Market Perform,Outperform,down
2012-11-21,Credit Suisse,Neutral,,main
2012-11-21,BMO Capital,Market Perform,,main
2012-11-21,RBC Capital,Sector Perform,Outperform,down
2012-11-21,Barclays,Equal-Weight,,main
2012-12-18,Topeka,Sell,Hold,down
2013-01-14,JP Morgan,Neutral,Underweight,up
2013-02-22,Credit Suisse,Neutral,,main
2013-02-22,BMO Capital,Market Perform,,main
2013-02-22,Deutsche Bank,Sell,,main
2013-02-22,Jefferies,Underperform,,main
2013-02-22,UBS,Neutral,Sell,up
2013-02-22,UBS,Neutral,Sell,up
2013-03-18,Morgan Stanley,Overweight,Equal-Weight,up
2013-04-01,Tigress Financial,Buy,,init
2013-04-02,Goldman Sachs,Sell,Neutral,down
2013-04-04,Jefferies,Underperform,,main
2013-05-23,Jefferies,Hold,Underperform,up
2013-05-23,JP Morgan,Neutral,,main
2013-06-20,Wells Fargo,Outperform,Market Perform,up
2013-07-09,Brean Capital,Buy,Hold,up
2013-07-10,Citigroup,Buy,Sell,up
2013-08-07,JP Morgan,Neutral,,main
2013-08-21,BMO Capital,Market Perform,,main
2013-09-12,UBS,Neutral,,main
2013-09-19,Cantor Fitzgerald,Hold,,init
2013-10-08,BMO Capital,Market Perform,,main
2013-10-10,Mizuho,Neutral,Underperform,up
