,2021-10-31,2020-10-25,2019-10-27,2018-10-28
Research Development,33600000.0,31900000.0,32500000.0,33800000.0
Effect Of Accounting Charges,,,,
Income Before Tax,1126169000.0,1114747000.0,1209715000.0,1181284000.0
Minority Interest,5478000.0,4778000.0,4077000.0,4007000.0
Net Income,908839000.0,908082000.0,978806000.0,1012140000.0
Selling General Administrative,789168000.0,729415000.0,711584000.0,807405000.0
Gross Profit,1961806000.0,1905964000.0,1884648000.0,1979473000.0
Ebit,1139038000.0,1144649000.0,1140564000.0,1138268000.0
Operating Income,1139038000.0,1144649000.0,1140564000.0,1138268000.0
Other Operating Expenses,,,,
Interest Expense,-43307000.0,-21069000.0,-18070000.0,-26494000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,217029000.0,206393000.0,230567000.0,168702000.0
Total Revenue,11386189000.0,9608462000.0,9497317000.0,9545700000.0
Total Operating Expenses,10247151000.0,8463813000.0,8356753000.0,8407432000.0
Cost Of Revenue,9424383000.0,7702498000.0,7612669000.0,7566227000.0
Total Other Income Expense Net,-12869000.0,-29902000.0,69151000.0,43016000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,909140000.0,908354000.0,979148000.0,1012582000.0
Net Income Applicable To Common Shares,908839000.0,908082000.0,978806000.0,1012140000.0
