,2021-12-25,2020-12-26,2019-12-28,2018-12-29
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,857875000.0,513811000.0,884976000.0,557873000.0
Minority Interest,1251378000.0,963912000.0,919351000.0,892612000.0
Net Income,631232000.0,403794000.0,694734000.0,535881000.0
Selling General Administrative,2824043000.0,2247757000.0,2357920000.0,2217273000.0
Gross Profit,3672251000.0,2814228000.0,3090886000.0,2910747000.0
Ebit,848208000.0,566471000.0,732966000.0,693474000.0
Operating Income,848208000.0,566471000.0,732966000.0,693474000.0
Other Operating Expenses,,,,
Interest Expense,-27600000.0,-41377000.0,-50792000.0,-76016000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,197349000.0,95374000.0,159515000.0,107432000.0
Total Revenue,12401021000.0,10119141000.0,9985803000.0,9417603000.0
Total Operating Expenses,11552813000.0,9552670000.0,9252837000.0,8724129000.0
Cost Of Revenue,8728770000.0,7304913000.0,6894917000.0,6506856000.0
Total Other Income Expense Net,9667000.0,-52660000.0,152010000.0,-135601000.0
Discontinued Operations,,986000.0,-5957000.0,105164000.0
Net Income From Continuing Ops,660526000.0,418437000.0,725461000.0,450441000.0
Net Income Applicable To Common Shares,631232000.0,403794000.0,694734000.0,535881000.0
