Date,Firm,To Grade,From Grade,Action
2012-02-07,Credit Suisse,Neutral,,down
2012-02-15,Deutsche Bank,Hold,,main
2012-05-09,UBS,Neutral,,main
2012-05-09,Barclays,Equal-Weight,,main
2012-06-29,PiperJaffray,Neutral,,init
2012-07-12,ISI Group,Underweight,,init
2012-12-20,Stifel Nicolaus,Hold,,init
2013-01-25,Barrington Research,Market Perform,Outperform,down
2013-02-13,Bank of America,Underperform,,main
2013-02-13,Jefferies,Hold,,main
2013-02-14,Jefferies,Hold,,main
2013-06-13,Wells Fargo,Outperform,,init
2013-11-06,Jefferies,Hold,,main
2014-08-05,Credit Suisse,Neutral,,main
2014-08-05,Leerink Swann,Market Perform,,main
2014-11-06,Credit Suisse,Neutral,,main
2014-11-07,Credit Suisse,Neutral,,main
2014-11-07,JP Morgan,Neutral,,main
2015-06-10,RBC Capital,Outperform,,init
2015-07-30,Evercore ISI Group,Hold,Buy,down
2015-11-05,Leerink Swann,Market Perform,,main
2016-03-15,Credit Suisse,Neutral,,init
2016-09-12,Bank of America,Buy,,init
2016-10-06,UBS,Buy,,init
2016-10-11,Goldman Sachs,Buy,Neutral,up
2016-10-14,Baird,Neutral,Buy,down
2017-01-03,Baird,Outperform,Neutral,up
2017-01-10,Gabelli & Co.,Buy,Hold,up
2017-03-15,Deutsche Bank,Hold,,init
2017-04-12,Craig-Hallum,Hold,,init
2017-06-12,PiperJaffray,Neutral,,init
2017-09-15,PiperJaffray,Overweight,Neutral,up
2017-09-19,RBC Capital,Sector Perform,,init
2017-09-21,Morgan Stanley,Equal-Weight,,init
2017-11-07,Craig-Hallum,Buy,Hold,up
2017-11-07,Jefferies,Hold,,main
2017-11-07,Leerink Swann,Market Perform,,main
2017-11-28,Stephens & Co.,Equal-Weight,,init
2017-12-06,Morgan Stanley,Underweight,Equal-Weight,down
2017-12-08,Deutsche Bank,Buy,,init
2018-01-05,Evercore ISI Group,Outperform,,init
2018-02-15,JP Morgan,Neutral,Neutral,main
2018-02-21,Leerink Swann,Market Perform,Market Perform,main
2018-03-08,Barclays,Equal-Weight,,init
2018-04-04,Leerink Swann,Outperform,Market Perform,up
2018-04-24,Deutsche Bank,Buy,Buy,main
2018-04-24,Goldman Sachs,Neutral,Buy,down
2018-08-07,Baird,Outperform,Outperform,main
2018-08-07,Stifel Nicolaus,Hold,Hold,main
2018-10-09,Morgan Stanley,Underweight,Underweight,main
2018-10-25,Edward Jones,Sell,Hold,down
2019-01-02,Baird,Neutral,Outperform,down
2019-01-03,Evercore ISI Group,Underperform,In-Line,down
2019-01-17,UBS,Sell,,init
2019-02-21,Barclays,Equal-Weight,Equal-Weight,main
2019-04-18,Guggenheim,Buy,,init
2019-05-15,SVB Leerink,Market Perform,Outperform,down
2019-08-07,William Blair,Market Perform,Outperform,down
2019-11-12,UBS,Sell,,main
2019-12-03,Bank of America,Neutral,,main
2020-01-02,Evercore ISI Group,In-Line,Underperform,up
2020-02-24,JP Morgan,Neutral,,main
2020-03-31,Barclays,Equal-Weight,,main
2020-04-02,Wolfe Research,Outperform,Peer Perform,up
2020-05-05,CFRA,Hold,,main
2020-05-06,Baird,Neutral,,main
2020-05-07,UBS,Sell,,main
2021-01-04,Baird,Outperform,Neutral,up
2022-01-07,Credit Suisse,Outperform,Neutral,up
2022-01-31,Morgan Stanley,Underweight,,init
2022-02-16,Credit Suisse,Outperform,,main
2022-02-16,Morgan Stanley,Underweight,,main
