,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,40107000.0,37577000.0,37146000.0,38521000.0
Effect Of Accounting Charges,,,,
Income Before Tax,1797224000.0,1494997000.0,1380784000.0,1410061000.0
Minority Interest,,3531000.0,5772000.0,8545000.0
Net Income,1477512000.0,1278708000.0,1149692000.0,1177562000.0
Selling General Administrative,1965118000.0,1858457000.0,1888072000.0,1817660000.0
Gross Profit,4053818000.0,3703478000.0,3622478000.0,3586648000.0
Ebit,2048593000.0,1807444000.0,1697260000.0,1730467000.0
Operating Income,2048593000.0,1807444000.0,1697260000.0,1730467000.0
Other Operating Expenses,,,,
Interest Expense,-129846000.0,-153471000.0,-152122000.0,-146858000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,314405000.0,219584000.0,234032000.0,239010000.0
Total Revenue,8971337000.0,8149719000.0,7986252000.0,7791069000.0
Total Operating Expenses,6922744000.0,6342275000.0,6288992000.0,6060602000.0
Cost Of Revenue,4917519000.0,4446241000.0,4363774000.0,4204421000.0
Total Other Income Expense Net,-251369000.0,-312447000.0,-316476000.0,-320406000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,1482819000.0,1275413000.0,1146752000.0,1171051000.0
Net Income Applicable To Common Shares,1477512000.0,1278708000.0,1149692000.0,1177562000.0
