,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,17000000.0,17000000.0,28000000.0,41000000.0
Effect Of Accounting Charges,,,,
Income Before Tax,324000000.0,171000000.0,210000000.0,428000000.0
Minority Interest,,,14000000.0,12000000.0
Net Income,258000000.0,261000000.0,470000000.0,642000000.0
Selling General Administrative,260000000.0,296000000.0,412000000.0,390000000.0
Gross Profit,1404000000.0,1422000000.0,1910000000.0,1664000000.0
Ebit,857000000.0,830000000.0,1175000000.0,915000000.0
Operating Income,857000000.0,830000000.0,1175000000.0,915000000.0
Other Operating Expenses,,,,4000000.0
Interest Expense,-259000000.0,-317000000.0,-338000000.0,-377000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,66000000.0,-40000000.0,84000000.0,119000000.0
Total Revenue,4972000000.0,5259000000.0,7098000000.0,6778000000.0
Total Operating Expenses,4115000000.0,4429000000.0,5923000000.0,5863000000.0
Cost Of Revenue,3568000000.0,3837000000.0,5188000000.0,5114000000.0
Total Other Income Expense Net,-533000000.0,-659000000.0,-965000000.0,-487000000.0
Discontinued Operations,,50000000.0,344000000.0,333000000.0
Net Income From Continuing Ops,258000000.0,211000000.0,126000000.0,309000000.0
Net Income Applicable To Common Shares,256000000.0,259000000.0,468000000.0,640000000.0
