,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,5698000000.0,2766000000.0,2481000000.0,2520000000.0
Minority Interest,39000000.0,129000000.0,109000000.0,101000000.0
Net Income,4058000000.0,2089000000.0,1933000000.0,1988000000.0
Selling General Administrative,2589000000.0,2153000000.0,1865000000.0,1780000000.0
Gross Profit,7146000000.0,6036000000.0,5202000000.0,4979000000.0
Ebit,3548000000.0,3143000000.0,2675000000.0,2613000000.0
Operating Income,3548000000.0,3143000000.0,2675000000.0,2613000000.0
Other Operating Expenses,,,,
Interest Expense,-423000000.0,-357000000.0,-285000000.0,-244000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,1629000000.0,658000000.0,521000000.0,500000000.0
Total Revenue,7146000000.0,6036000000.0,5202000000.0,4979000000.0
Total Operating Expenses,3598000000.0,2893000000.0,2527000000.0,2366000000.0
Cost Of Revenue,0.0,0.0,0.0,0.0
Total Other Income Expense Net,2150000000.0,-377000000.0,-194000000.0,-93000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,4069000000.0,2108000000.0,1960000000.0,2020000000.0
Net Income Applicable To Common Shares,4058000000.0,2089000000.0,1933000000.0,1988000000.0
