Date,Firm,To Grade,From Grade,Action
2012-02-09,UBS,Buy,,main
2012-02-09,Citigroup,Neutral,,main
2012-02-09,Jefferies,Buy,,main
2012-02-09,JP Morgan,Neutral,,main
2012-02-09,Evercore Partners,Overweight,,main
2012-02-09,Goldman Sachs,Neutral,,main
2012-02-09,Stifel Nicolaus,Buy,,main
2012-03-16,Deutsche Bank,Hold,,main
2012-03-20,UBS,Buy,,main
2012-04-04,Jefferies,Buy,,main
2012-05-03,UBS,Buy,,main
2012-05-22,JP Morgan,Overweight,,up
2012-05-23,Deutsche Bank,Buy,,up
2012-06-21,BGB Securities,Hold,,init
2012-07-16,Deutsche Bank,Buy,,main
2012-08-02,Barclays,Overweight,,main
2012-08-02,ISI Group,Hold,,main
2012-08-17,UBS,Buy,,main
2012-10-03,JP Morgan,Overweight,,main
2012-10-15,BGB Securities,Buy,,up
2012-12-21,Bernstein,Market Perform,Outperform,down
2013-01-04,Stifel Nicolaus,Buy,,main
2013-01-09,Macquarie,Neutral,Outperform,down
2013-01-09,Compass Point,Buy,,init
2013-01-30,ISI Group,Buy,Neutral,up
2013-02-07,Jefferies,Buy,,main
2013-02-07,Compass Point,Buy,,main
2013-03-06,"Keefe, Bruyette & Woods",Outperform,Market Perform,up
2013-04-04,UBS,Buy,,main
2013-04-15,Jefferies,Buy,,main
2013-05-15,Barclays,Overweight,,main
2013-05-21,Macquarie,Outperform,Neutral,up
2013-05-28,Jefferies,Buy,,main
2013-08-27,Wells Fargo,Outperform,,init
2013-11-18,BMO Capital,Outperform,Market Perform,up
2013-11-20,Jefferies,Buy,,main
2014-01-16,Citigroup,Neutral,,main
2014-01-28,JP Morgan,Overweight,,main
2014-04-04,Barclays,Overweight,,main
2014-04-09,Bank of America,Buy,,main
2014-04-09,Citigroup,Neutral,,main
2014-04-10,Citigroup,Neutral,,main
2014-04-22,JP Morgan,Overweight,,main
2014-05-09,Raymond James,Outperform,,main
2014-05-09,Credit Suisse,Outperform,,main
2014-05-09,Citigroup,Hold,,main
