,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,579800000.0,470300000.0,532900000.0,528939000.0
Minority Interest,,100000.0,100000.0,100000.0
Net Income,449400000.0,377800000.0,425500000.0,410573000.0
Selling General Administrative,572800000.0,494000000.0,526800000.0,534462000.0
Gross Profit,1236100000.0,1031600000.0,1128300000.0,1117895000.0
Ebit,663300000.0,537600000.0,601500000.0,581233000.0
Operating Income,663300000.0,537600000.0,601500000.0,581233000.0
Other Operating Expenses,,,,2200000.0
Interest Expense,-41000000.0,-44800000.0,-44300000.0,-44134000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,130500000.0,92500000.0,107400000.0,118366000.0
Total Revenue,2764800000.0,2351600000.0,2494600000.0,2483666000.0
Total Operating Expenses,2101500000.0,1814000000.0,1893100000.0,1902433000.0
Cost Of Revenue,1528700000.0,1320000000.0,1366300000.0,1365771000.0
Total Other Income Expense Net,-83500000.0,-67300000.0,-68600000.0,-52294000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,449300000.0,377800000.0,425500000.0,410573000.0
Net Income Applicable To Common Shares,449400000.0,377800000.0,425500000.0,410573000.0
