Date,Firm,To Grade,From Grade,Action
2021-05-12,Wells Fargo,Overweight,,main
2021-05-13,Jefferies,Buy,,main
2021-06-28,Wells Fargo,Overweight,,main
2021-08-09,Wells Fargo,Overweight,,main
2021-10-13,Mizuho,Neutral,,init
2021-11-10,Wells Fargo,Overweight,,main
2021-11-10,Mizuho,Neutral,,main
2021-11-12,Deutsche Bank,Buy,,main
2021-12-13,Wells Fargo,Overweight,,main
2022-01-04,UBS,Buy,,main
2022-01-13,Jefferies,Buy,,init
2022-01-26,Stifel,Buy,Hold,up
2022-02-14,Wells Fargo,Overweight,,main
2022-02-14,Barclays,Underweight,,main
2022-03-24,Berenberg,Hold,Buy,down
2022-04-18,Wells Fargo,Overweight,,main
2022-05-11,Wells Fargo,Overweight,,main
2022-05-11,Mizuho,Neutral,,main
2022-05-12,Deutsche Bank,Buy,,main
