,2022-01-02,2021-01-03,2019-12-29,2018-12-30
Research Development,935000000.0,609000000.0,575000000.0,568000000.0
Effect Of Accounting Charges,,,,
Income Before Tax,884000000.0,856000000.0,1118000000.0,894000000.0
Minority Interest,,,,148000000.0
Net Income,762000000.0,656000000.0,1002000000.0,826000000.0
Selling General Administrative,1567000000.0,922000000.0,907000000.0,849000000.0
Gross Profit,3225000000.0,2231000000.0,2501000000.0,2335000000.0
Ebit,652000000.0,672000000.0,985000000.0,883000000.0
Operating Income,652000000.0,672000000.0,985000000.0,883000000.0
Other Operating Expenses,,,,
Interest Expense,-61000000.0,-49000000.0,-52000000.0,-57000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,122000000.0,200000000.0,128000000.0,112000000.0
Total Revenue,4526000000.0,3239000000.0,3543000000.0,3333000000.0
Total Operating Expenses,3874000000.0,2567000000.0,2558000000.0,2450000000.0
Cost Of Revenue,1301000000.0,1008000000.0,1042000000.0,998000000.0
Total Other Income Expense Net,232000000.0,184000000.0,133000000.0,11000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,762000000.0,656000000.0,990000000.0,782000000.0
Net Income Applicable To Common Shares,762000000.0,656000000.0,1002000000.0,826000000.0
