Date,Firm,To Grade,From Grade,Action
2012-03-06,Morgan Stanley,Equal-Weight,,init
2012-03-22,Morgan Stanley,Equal-Weight,,init
2012-04-24,Wedbush,Outperform,,main
2012-04-24,JP Morgan,Overweight,,main
2012-04-24,UBS,Neutral,,main
2012-04-24,Citigroup,Neutral,,main
2012-07-10,ISI Group,Market Weight,,init
2012-07-23,Barclays,Overweight,,main
2012-10-10,Cantor Fitzgerald,Hold,,main
2012-10-16,Citigroup,Neutral,,main
2012-10-24,Goldman Sachs,Neutral,,main
2012-10-24,CLSA,Underperform,Outperform,down
2012-11-26,Baird,Neutral,Outperform,down
2013-01-04,Wedbush,Neutral,Outperform,down
2013-01-04,PiperJaffray,Overweight,Neutral,up
2013-01-08,ISI Group,Neutral,,main
2013-01-29,Credit Suisse,Outperform,,main
2013-01-29,ISI Group,Neutral,,main
2013-01-29,First Analysis,Equal-Weight,Overweight,down
2013-01-29,Cantor Fitzgerald,Hold,,main
2013-03-01,UBS,Buy,Neutral,up
2013-04-23,Credit Suisse,Outperform,,main
2013-05-15,Bank of America,Buy,,main
2013-07-02,PiperJaffray,Neutral,Overweight,down
2013-07-24,Credit Suisse,Outperform,,main
2013-08-15,Janney Capital,Neutral,,init
2013-09-09,Wells Fargo,Outperform,,init
2013-12-12,Bank of America,Buy,,main
2013-12-18,JMP Securities,Market Outperform,,init
2013-12-19,Mizuho,Buy,,main
2014-02-18,Bank of America,Buy,,main
2014-03-05,JMP Securities,Market Outperform,,main
2014-04-02,Macquarie,Outperform,Neutral,up
2014-04-23,Leerink Swann,Outperform,,main
2014-04-23,Maxim Group,Buy,Hold,up
2014-04-23,Bank of America,Buy,,main
2014-07-24,Macquarie,Outperform,,main
2014-07-24,JP Morgan,Overweight,,main
2014-07-24,Credit Suisse,Outperform,,main
2014-08-01,Tigress Financial,Buy,,init
2014-08-12,Stifel Nicolaus,Buy,,init
2014-08-20,Wedbush,Outperform,Neutral,up
2014-09-08,Morgan Stanley,Equal-weight,,init
2014-10-03,BTIG Research,Buy,,init
2014-10-16,PiperJaffray,Overweight,Neutral,up
2014-10-21,Janney Capital,Buy,Neutral,up
2014-10-27,Stifel Nicolaus,Buy,,main
2015-01-06,JP Morgan,Overweight,,main
2015-01-28,Barclays,Equal-Weight,,main
2015-03-10,UBS,Buy,,init
2015-04-22,Citigroup,Buy,,main
2015-04-23,Tigress Financial,Strong Buy,Buy,up
2015-05-21,Morgan Stanley,Overweight,Equal-Weight,up
