,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,570444000.0,-232218000.0,486791000.0,115347000.0
Minority Interest,,,,
Net Income,948581000.0,-295697000.0,446906000.0,109493000.0
Selling General Administrative,740963000.0,517872000.0,469276000.0,434934000.0
Gross Profit,1340078000.0,276631000.0,890399000.0,589803000.0
Ebit,599115000.0,-241241000.0,421123000.0,154869000.0
Operating Income,599115000.0,-241241000.0,421123000.0,154869000.0
Other Operating Expenses,,,,
Interest Expense,-1908000.0,-2174000.0,-1855000.0,-1543000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,-378137000.0,63479000.0,39885000.0,5854000.0
Total Revenue,2986267000.0,2666702000.0,2158759000.0,1881883000.0
Total Operating Expenses,2387152000.0,2907943000.0,1737636000.0,1727014000.0
Cost Of Revenue,1646189000.0,2390071000.0,1268360000.0,1292080000.0
Total Other Income Expense Net,-28671000.0,9023000.0,65668000.0,-39522000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,948581000.0,-295697000.0,446906000.0,109493000.0
Net Income Applicable To Common Shares,948581000.0,-295697000.0,446906000.0,109493000.0
