,2021-12-25,2020-12-26,2019-12-28,2018-12-29
Research Development,15190000000.0,13556000000.0,13362000000.0,13543000000.0
Effect Of Accounting Charges,,,,
Income Before Tax,21703000000.0,25078000000.0,24058000000.0,23317000000.0
Minority Interest,,,,
Net Income,19868000000.0,20899000000.0,21048000000.0,21053000000.0
Selling General Administrative,6543000000.0,6180000000.0,6350000000.0,6950000000.0
Gross Profit,43815000000.0,43612000000.0,42140000000.0,43737000000.0
Ebit,22082000000.0,23876000000.0,22428000000.0,23244000000.0
Operating Income,22082000000.0,23876000000.0,22428000000.0,23244000000.0
Other Operating Expenses,,,393000000.0,-72000000.0
Interest Expense,-597000000.0,-629000000.0,-489000000.0,-468000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,1835000000.0,4179000000.0,3010000000.0,2264000000.0
Total Revenue,79024000000.0,77867000000.0,71965000000.0,70848000000.0
Total Operating Expenses,56942000000.0,53991000000.0,49537000000.0,47604000000.0
Cost Of Revenue,35209000000.0,34255000000.0,29825000000.0,27111000000.0
Total Other Income Expense Net,-379000000.0,1202000000.0,1630000000.0,73000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,19868000000.0,20899000000.0,21048000000.0,21053000000.0
Net Income Applicable To Common Shares,19868000000.0,20899000000.0,21048000000.0,21053000000.0
