,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,1312000000.0,406000000.0,1171000000.0,2117000000.0
Minority Interest,,14000000.0,5000000.0,21000000.0
Net Income,1752000000.0,482000000.0,1225000000.0,2012000000.0
Selling General Administrative,2629000000.0,2599000000.0,2735000000.0,3784000000.0
Gross Profit,5531000000.0,5226000000.0,5648000000.0,7751000000.0
Ebit,1666000000.0,1400000000.0,1708000000.0,2468000000.0
Operating Income,1666000000.0,1400000000.0,1708000000.0,2468000000.0
Other Operating Expenses,139000000.0,136000000.0,133000000.0,171000000.0
Interest Expense,-430000000.0,-597000000.0,-701000000.0,-734000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,188000000.0,176000000.0,477000000.0,445000000.0
Total Revenue,19363000000.0,17565000000.0,18317000000.0,23306000000.0
Total Operating Expenses,17697000000.0,16165000000.0,16609000000.0,20838000000.0
Cost Of Revenue,13832000000.0,12339000000.0,12669000000.0,15555000000.0
Total Other Income Expense Net,-354000000.0,-994000000.0,-537000000.0,-351000000.0
Discontinued Operations,630000000.0,252000000.0,526000000.0,345000000.0
Net Income From Continuing Ops,1124000000.0,230000000.0,694000000.0,1672000000.0
Net Income Applicable To Common Shares,1752000000.0,482000000.0,1225000000.0,2012000000.0
