Date,Firm,To Grade,From Grade,Action
2012-02-27,Deutsche Bank,Buy,,up
2012-03-07,Jefferies,Underperform,,main
2012-03-26,Morgan Stanley,Overweight,,main
2012-04-30,Wedbush,Outperform,,main
2012-04-30,PiperJaffray,Neutral,,main
2012-08-01,PiperJaffray,Neutral,,main
2012-08-09,Nomura,Buy,,up
2012-10-09,Citigroup,Buy,Neutral,up
2012-10-29,Deutsche Bank,Buy,,main
2012-10-29,Morgan Stanley,Overweight,,main
2012-11-01,Nomura,Buy,,main
2012-11-16,Jefferies,Underperform,,main
2013-01-07,Pivotal Research,Buy,,main
2013-02-20,Wedbush,Outperform,,main
2013-02-25,Wedbush,Outperform,,main
2013-02-25,UBS,Buy,,main
2013-02-25,BMO Capital,Outperform,,main
2013-03-07,Jefferies,Underperform,,main
2013-03-08,Jefferies,Underperform,,main
2013-03-18,Nomura,Buy,,main
2013-04-12,Deutsche Bank,Buy,,main
2013-04-19,Goldman Sachs,Neutral,,main
2013-07-29,Deutsche Bank,Buy,,main
2013-09-18,Jefferies,Hold,Underperform,up
2013-10-18,Albert Fried,Market Perform,Overweight,down
2013-10-29,FBR Capital,Market Perform,,init
2014-02-26,Morgan Stanley,Equal-Weight,,main
2014-04-23,JP Morgan,Overweight,,main
2014-07-08,JP Morgan,Overweight,,main
2014-07-21,BMO Capital,Outperform,,main
2014-07-21,Macquarie,Outperform,,main
2014-08-28,Northland Securities,Buy,,init
2014-09-23,Telsey Advisory Group,Outperform,,init
2014-10-23,FBR Capital,Market Perform,,main
2014-10-23,JP Morgan,Overweight,,main
2015-01-28,JP Morgan,Overweight,,main
2015-02-19,Citigroup,Neutral,,main
2015-03-10,Argus,Buy,,main
2015-04-13,Pivotal Research,,Buy,down
2015-04-27,BMO Capital,Outperform,,main
2015-09-11,FBR Capital,Outperform,Market Perform,up
2015-12-18,Morgan Stanley,Overweight,Equal-Weight,up
2016-02-08,Pivotal Research,Buy,Hold,up
2016-10-07,RBC Capital,,,init
2017-01-05,Morgan Stanley,Equal-Weight,Overweight,down
2017-01-12,Pivotal Research,Hold,Buy,down
2017-03-02,Bank of America,Buy,,init
2017-04-18,Evercore ISI Group,Outperform,,init
2017-06-06,Macquarie,Neutral,Outperform,down
2017-07-26,Morgan Stanley,Equal-Weight,,main
2017-07-26,RBC Capital,Sector Perform,Outperform,down
2017-07-26,Argus,Buy,,main
2017-07-26,BMO Capital,Outperform,,main
2017-07-27,Atlantic Equities,Underweight,Neutral,down
2017-08-14,Pivotal Research,Buy,Hold,up
2017-09-06,Citigroup,Buy,Neutral,up
2017-10-11,Credit Suisse,Outperform,,main
2017-10-26,BMO Capital,Outperform,,main
2017-10-31,Argus,Hold,Buy,down
2017-12-13,Jefferies,Hold,Buy,down
2018-01-02,Macquarie,Underperform,Neutral,down
2018-01-18,Wells Fargo,Market Perform,Outperform,down
2018-01-31,Morgan Stanley,Equal-Weight,Equal-Weight,main
2018-02-15,BMO Capital,Outperform,Outperform,main
2018-02-16,Macquarie,Neutral,Underperform,up
2018-02-20,Pivotal Research,Hold,Buy,down
2018-03-02,Atlantic Equities,Neutral,Underweight,up
2018-06-19,Moffett Nathanson,Neutral,,init
2018-07-25,RBC Capital,Outperform,Sector Perform,up
2018-09-20,Macquarie,Outperform,Neutral,up
2018-10-19,Citigroup,Buy,Buy,main
2018-10-24,BMO Capital,Outperform,Outperform,main
2019-01-07,Pivotal Research,Buy,Hold,up
2019-01-18,RBC Capital,Sector Perform,Outperform,down
2019-07-24,BMO Capital,Outperform,,main
2019-09-24,Wells Fargo,Market Perform,,init
2020-02-12,CFRA,Hold,,main
2020-04-15,Citigroup,Buy,,main
2020-04-21,Morgan Stanley,Equal-Weight,,main
2020-04-22,CFRA,Hold,,main
2020-07-23,Wolfe Research,Peer Perform,,init
2020-10-22,MoffettNathanson,Buy,Neutral,up
2020-10-22,Morgan Stanley,Equal-Weight,,main
2020-12-11,Barclays,Overweight,,init
2021-02-11,Morgan Stanley,Equal-Weight,,main
2021-04-22,BMO Capital,Market Perform,Outperform,down
2021-07-02,Morgan Stanley,Equal-Weight,,main
2021-07-22,B of A Securities,Neutral,Underperform,up
2021-07-22,BMO Capital,Market Perform,,main
2021-07-22,Morgan Stanley,Equal-Weight,,main
2022-01-27,B of A Securities,Underperform,Neutral,down
2022-02-11,Morgan Stanley,Equal-Weight,,main
2022-03-14,Barclays,Equal-Weight,Overweight,down
2022-03-21,Argus Research,Buy,Hold,up
