,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,139573000.0,126898000.0,129997000.0,122769000.0
Effect Of Accounting Charges,,,,
Income Before Tax,366481000.0,205692000.0,248376000.0,534395000.0
Minority Interest,639000.0,1292000.0,717000.0,687000.0
Net Income,278416000.0,159572000.0,180234000.0,404027000.0
Selling General Administrative,204062000.0,180588000.0,185342000.0,160244000.0
Gross Profit,696398000.0,538996000.0,606209000.0,800268000.0
Ebit,352763000.0,231510000.0,290870000.0,517255000.0
Operating Income,352763000.0,231510000.0,290870000.0,517255000.0
Other Operating Expenses,,,,
Interest Expense,-1839000.0,-1839000.0,-1839000.0,-1839000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,88615000.0,45354000.0,68115000.0,130226000.0
Total Revenue,1460860000.0,1200724000.0,1314581000.0,1459874000.0
Total Operating Expenses,1108097000.0,969214000.0,1023711000.0,942619000.0
Cost Of Revenue,764462000.0,661728000.0,708372000.0,659606000.0
Total Other Income Expense Net,13718000.0,-25818000.0,-42494000.0,16584000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,277866000.0,160338000.0,180261000.0,404169000.0
Net Income Applicable To Common Shares,278416000.0,159572000.0,180234000.0,404027000.0
