,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,1134000000.0,380000000.0,343000000.0,343000000.0
Minority Interest,,279000000.0,260000000.0,240000000.0
Net Income,966000000.0,279000000.0,191000000.0,259000000.0
Selling General Administrative,1931000000.0,1762000000.0,1711000000.0,1692000000.0
Gross Profit,4641000000.0,3859000000.0,3788000000.0,3666000000.0
Ebit,1446000000.0,810000000.0,875000000.0,833000000.0
Operating Income,1446000000.0,810000000.0,875000000.0,833000000.0
Other Operating Expenses,,,,
Interest Expense,-375000000.0,-416000000.0,-447000000.0,-414000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,163000000.0,72000000.0,116000000.0,59000000.0
Total Revenue,13874000000.0,11359000000.0,11088000000.0,10412000000.0
Total Operating Expenses,12428000000.0,10549000000.0,10213000000.0,9579000000.0
Cost Of Revenue,9233000000.0,7500000000.0,7300000000.0,6746000000.0
Total Other Income Expense Net,-312000000.0,-430000000.0,-532000000.0,-490000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,971000000.0,308000000.0,227000000.0,284000000.0
Net Income Applicable To Common Shares,966000000.0,279000000.0,191000000.0,259000000.0
