,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,629015000.0,372705000.0,328142000.0,410311000.0
Minority Interest,73527000.0,59805000.0,67947000.0,71941000.0
Net Income,450219000.0,342693000.0,267377000.0,353933000.0
Selling General Administrative,1022559000.0,947578000.0,991664000.0,1006983000.0
Gross Profit,2604302000.0,2397576000.0,2429269000.0,2431807000.0
Ebit,901321000.0,797929000.0,779404000.0,785310000.0
Operating Income,901321000.0,797929000.0,779404000.0,785310000.0
Other Operating Expenses,,,,
Interest Expense,-425302000.0,-426847000.0,-425857000.0,-416201000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,176290000.0,29609000.0,59931000.0,42753000.0
Total Revenue,4491531000.0,4147270000.0,4262584000.0,4225761000.0
Total Operating Expenses,3590210000.0,3349341000.0,3483180000.0,3440451000.0
Cost Of Revenue,1887229000.0,1749694000.0,1833315000.0,1793954000.0
Total Other Income Expense Net,-272306000.0,-425224000.0,-451262000.0,-374999000.0
Discontinued Operations,,,104000.0,-12427000.0
Net Income From Continuing Ops,452725000.0,343096000.0,268211000.0,367558000.0
Net Income Applicable To Common Shares,450219000.0,342693000.0,267377000.0,353933000.0
