Date,Firm,To Grade,From Grade,Action
2012-05-04,Citigroup,Buy,,up
2012-06-07,PiperJaffray,Overweight,,main
2012-06-25,Barclays,Overweight,Equal-Weight,up
2012-08-13,Barclays,Overweight,,main
2012-09-20,PiperJaffray,Overweight,,main
2013-06-07,Stifel Nicolaus,Hold,Buy,down
2013-06-07,Stifel Nicolaus,Hold,Buy,down
2013-08-08,Barclays,Equal-Weight,Overweight,down
2013-10-11,Barclays,Underweight,Equal-Weight,down
2013-10-14,Baird,Outperform,Neutral,up
2015-06-02,Jefferies,Underperform,Hold,down
2016-04-18,Stifel Nicolaus,Buy,Hold,up
2016-08-05,JP Morgan,Overweight,,main
2017-02-22,Deutsche Bank,Hold,,init
2017-06-07,Deutsche Bank,Sell,Hold,down
2017-10-18,Evercore ISI Group,Outperform,,init
2017-10-25,Baird,Neutral,,main
2018-02-20,Stifel Nicolaus,Buy,Buy,main
2018-03-27,Goldman Sachs,Buy,,init
2018-08-10,Credit Suisse,Underweight,,init
2018-09-20,Berenberg,Buy,,init
2018-10-26,Stifel Nicolaus,Hold,Buy,down
2018-10-30,Barclays,Equal-Weight,Equal-Weight,main
2018-11-20,Bank of America,Neutral,,init
2019-07-10,Wells Fargo,Outperform,,init
2019-07-11,Bank of America,Underperform,Neutral,down
2019-08-02,Baird,Neutral,Underperform,up
2019-11-26,Credit Suisse,Underperform,,main
2021-02-25,Credit Suisse,Underperform,,main
2021-05-07,Goldman Sachs,Buy,,main
2022-02-25,Stifel,Buy,Hold,up
2022-02-25,Credit Suisse,Underperform,,main
2022-04-12,Stifel,Buy,,main
2022-04-29,Wells Fargo,Overweight,,main
