,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,671000000.0,595100000.0,557300000.0,418100000.0
Effect Of Accounting Charges,,,,
Income Before Tax,1890300000.0,1207000000.0,1502200000.0,1279500000.0
Minority Interest,50400000.0,27600000.0,20900000.0,8700000.0
Net Income,1704600000.0,1060600000.0,1379300000.0,1127900000.0
Selling General Administrative,1466500000.0,1216300000.0,1178400000.0,941400000.0
Gross Profit,3958500000.0,2861200000.0,3110200000.0,2604100000.0
Ebit,1821000000.0,1049800000.0,1374500000.0,1244600000.0
Operating Income,1821000000.0,1049800000.0,1374500000.0,1244600000.0
Other Operating Expenses,,,,
Interest Expense,,,,
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,162200000.0,140200000.0,120400000.0,154500000.0
Total Revenue,5710100000.0,4358400000.0,4478500000.0,3724200000.0
Total Operating Expenses,3889100000.0,3308600000.0,3104000000.0,2479600000.0
Cost Of Revenue,1751600000.0,1497200000.0,1368300000.0,1120100000.0
Total Other Income Expense Net,69300000.0,157200000.0,127700000.0,34900000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,1728100000.0,1066800000.0,1381800000.0,1125000000.0
Net Income Applicable To Common Shares,1704600000.0,1060600000.0,1379300000.0,1127900000.0
