Date,Firm,To Grade,From Grade,Action
2012-04-10,Dougherty,Buy,,init
2012-04-18,Goldman Sachs,Neutral,,main
2012-04-18,Dougherty,Buy,,main
2012-04-18,JP Morgan,Neutral,,main
2012-04-18,Cantor Fitzgerald,Hold,,main
2012-05-30,JP Morgan,Neutral,,main
2012-07-25,Mizuho,Buy,Neutral,up
2012-08-27,Goldman Sachs,Neutral,,main
2012-10-15,JP Morgan,Overweight,Neutral,up
2012-10-19,Bank of America,Buy,Neutral,up
2012-10-31,Barrington Research,Outperform,Market Perform,up
2012-11-20,Stifel Nicolaus,Hold,,init
2012-12-04,Cantor Fitzgerald,Hold,,main
2013-01-14,Lazard,Buy,Neutral,up
2013-01-16,Goldman Sachs,Neutral,,main
2013-01-17,Janney Capital,Buy,,init
2013-01-18,Janney Capital,Buy,,init
2013-01-23,Cantor Fitzgerald,Hold,,main
2013-02-22,Goldman Sachs,Buy,Neutral,up
2013-03-01,Cantor Fitzgerald,Buy,Hold,up
2013-03-05,Northland,Underperform,,init
2013-03-18,Canaccord Genuity,Buy,Hold,up
2013-06-17,Wedbush,Outperform,,init
2013-06-18,Wedbush,Outperform,,init
2013-06-25,First Analysis,Equal-Weight,,init
2013-07-09,Canaccord Genuity,Hold,Buy,down
2013-07-09,Goldman Sachs,Neutral,Buy,down
2013-07-09,JMP Securities,Market Perform,Market Outperform,down
2013-07-09,Raymond James,Market Perform,Outperform,down
2013-07-09,Ameriprise Financial,Sell,Buy,down
2013-07-19,Northland Securities,Market Perform,Underperform,up
2013-07-19,JMP Securities,Market Underperform,Market Perform,down
2013-09-03,First Analysis,Underweight,Equal-Weight,down
2013-10-18,Northland,Underperform,Market Perform,down
2013-11-25,CRT Capital,Sell,,init
2013-11-26,CRT Capital,Sell,,init
2013-12-05,Jefferies,Buy,,init
2014-01-21,ISI Group,Strong Buy,,init
2014-03-04,Cantor Fitzgerald,Hold,Buy,down
2014-04-01,JP Morgan,Overweight,,main
2014-04-02,Bank of America,Buy,,main
2014-04-02,JMP Securities,Market Outperform,Market Underperform,up
2014-04-08,Sterne Agee,Underperform,,init
2014-04-09,Sterne Agee,Underperform,,init
2014-04-14,Leerink Swann,Market Perform,,main
2014-04-23,SunTrust Robinson Humphrey,Buy,,main
2014-04-23,Leerink Swann,Market Perform,,main
2014-04-23,JP Morgan,Overweight,,main
2014-04-23,Canaccord Genuity,Hold,,main
2014-04-23,Sterne Agee,Underperform,,main
2014-04-29,Sterne Agee,Neutral,Underperform,up
2014-07-08,BTIG Research,Neutral,,init
2014-07-23,Raymond James,Outperform,Market Perform,up
2014-07-23,JP Morgan,Overweight,,main
2014-07-23,Stifel Nicolaus,Buy,Hold,up
2014-09-22,RBC Capital,Sector Perform,,init
2014-10-06,Goldman Sachs,Buy,Neutral,up
2014-10-17,Leerink Swann,Outperform,Market Perform,up
2014-10-22,Northland Securities,Market Perform,Underperform,up
2014-10-22,BTIG Research,Buy,Neutral,up
2015-01-02,Bank of America,Buy,,main
2015-01-05,Jefferies,Buy,,main
2015-05-12,PiperJaffray,Neutral,,init
2015-06-25,Barclays,Overweight,,init
2015-07-06,Morgan Stanley,Underweight,Equal-Weight,down
2015-07-22,Canaccord Genuity,Buy,,up
2015-07-22,Barclays,Overweight,,main
2015-11-12,Citigroup,Buy,,init
2016-01-04,Morgan Stanley,Overweight,Equal-Weight,up
2016-04-01,BTIG Research,Neutral,Buy,down
2016-04-20,Bank of America,Buy,,main
2016-06-02,Goldman Sachs,Neutral,Buy,down
2016-07-20,Citigroup,Buy,,main
2016-07-20,Barclays,Overweight,,main
2016-08-26,Raymond James,Outperform,,init
2016-10-13,Wells Fargo,Outperform,,init
2017-01-04,Evercore ISI Group,Hold,Buy,down
2017-05-16,Goldman Sachs,Buy,,init
2017-06-30,Cantor Fitzgerald,Neutral,,init
2017-07-25,Morgan Stanley,Overweight,,main
2017-10-20,Barclays,Overweight,,main
2017-10-20,Morgan Stanley,Overweight,,main
2017-10-23,Citigroup,Buy,,main
2018-01-03,Evercore ISI Group,In-Line,,init
2018-01-26,Barclays,Overweight,Overweight,main
2018-01-26,Canaccord Genuity,Hold,Hold,main
2018-01-26,Stifel Nicolaus,Buy,Buy,main
2018-01-26,Morgan Stanley,Overweight,Overweight,main
2018-02-06,Citigroup,Buy,Buy,main
2018-04-18,Stifel Nicolaus,Buy,Buy,main
2018-04-18,Bank of America,Buy,Buy,main
2018-04-18,Canaccord Genuity,Hold,Hold,main
2018-04-18,Morgan Stanley,Overweight,Overweight,main
2018-06-01,Morgan Stanley,Overweight,Overweight,main
2018-06-27,Bernstein,Outperform,,init
2018-07-17,Bank of America,Buy,Buy,main
2018-07-20,Morgan Stanley,Overweight,Overweight,main
2018-07-20,Stifel Nicolaus,Buy,Buy,main
2018-08-02,Citigroup,Buy,Buy,main
2018-09-12,Wells Fargo,Outperform,Outperform,main
2018-10-09,PiperJaffray,Overweight,Neutral,up
2018-10-10,PiperJaffray,Overweight,Neutral,up
2018-10-11,Morgan Stanley,Overweight,Overweight,main
2018-10-19,Canaccord Genuity,Buy,Hold,up
2018-10-19,Raymond James,Outperform,Outperform,main
2018-11-28,UBS,Neutral,,init
2018-11-29,Citigroup,Buy,Buy,main
2019-01-02,Citigroup,Buy,Buy,main
2019-04-01,Raymond James,Outperform,Outperform,main
2019-04-02,Deutsche Bank,Buy,,init
2019-04-22,Canaccord Genuity,Buy,Buy,main
2019-04-22,Raymond James,Outperform,Outperform,main
2019-04-23,Citigroup,Buy,Buy,main
2019-05-14,Citigroup,Buy,,main
2019-07-19,Canaccord Genuity,Buy,,main
2019-10-18,UBS,Neutral,,main
2019-11-21,Oppenheimer,Perform,,init
2019-11-29,First Shanghai,Buy,,init
2019-12-17,Morgan Stanley,Overweight,,main
2020-01-10,UBS,Neutral,,main
2020-01-10,Cantor Fitzgerald,Overweight,,reit
2020-01-24,JP Morgan,Overweight,,main
2020-01-24,Raymond James,Outperform,,main
2020-01-27,Deutsche Bank,Hold,Buy,down
2020-02-13,Goldman Sachs,Buy,,init
2020-03-17,JP Morgan,Overweight,,main
2020-03-24,Stifel,Buy,,main
2020-03-27,Morgan Stanley,Overweight,,main
2020-04-01,Oppenheimer,Underperform,Perform,down
2020-04-02,Wells Fargo,Overweight,,main
2020-04-09,Evercore ISI Group,Underperform,In-Line,down
2020-04-13,Raymond James,Outperform,,main
2020-04-17,UBS,Neutral,,main
2020-04-17,Canaccord Genuity,Buy,,main
2020-04-17,Deutsche Bank,Hold,,main
2020-04-17,Wells Fargo,Overweight,,main
2020-04-17,SVB Leerink,Market Perform,Outperform,down
2020-04-28,Piper Sandler,Neutral,Overweight,down
2020-06-04,Wells Fargo,Overweight,,main
2020-06-18,JP Morgan,Overweight,,main
2020-07-22,Wells Fargo,Overweight,,main
2020-07-22,Canaccord Genuity,Buy,,main
2020-07-22,Deutsche Bank,Hold,,main
2020-07-22,Morgan Stanley,Overweight,,main
2020-07-22,UBS,Neutral,,main
2020-07-22,Raymond James,Outperform,,main
2020-07-22,SVB Leerink,Market Perform,,main
2020-07-22,Stifel,Buy,,main
2020-08-14,SVB Leerink,Market Perform,,main
2020-09-02,Baird,Neutral,,init
2020-09-08,B of A Securities,Neutral,Buy,down
2020-09-11,Wolfe Research,Outperform,,init
2020-09-28,Argus Research,Buy,,init
2020-10-12,Raymond James,Outperform,,main
2020-10-16,Morgan Stanley,Overweight,,main
2020-10-16,Wells Fargo,Overweight,,main
2020-10-16,SVB Leerink,Market Perform,,main
2020-12-15,Morgan Stanley,Equal-Weight,Overweight,down
2021-01-22,Raymond James,Outperform,,main
2021-03-31,Piper Sandler,Neutral,,main
